regime_id,late_force_p99_delta,early_force_p99_delta,early_force_share_top5_edges_hot_minus_cold,late_force_share_top5_edges_hot_minus_cold,early_force_h1_birth_force_share_hot_minus_cold,late_force_h1_birth_force_share_hot_minus_cold,early_giant_fraction_after_top5_edges_hot_minus_cold,late_giant_fraction_after_top5_edges_hot_minus_cold
R1,-0.00039468685993789996,-0.00044508104929434,0.12598051034652263,0.1814029236172276,-0.0709171500314214,-0.04114483857376646,0.01521116503490294,0.05189239123183004
R3,0.0005911763462291399,0.000667806638468634,0.11342317081638868,0.12423192897971998,0.028866838344574642,0.04675175213421902,0.02363714422890468,0.02942005217221934
R5,0.0006031227417596932,0.00838468880089244,0.020281509175158037,0.08151245340381948,0.12524588789434582,0.031150872515248562,0.01713056347462686,0.01085957732772146
R6,0.00206076331740284,0.016864611943202282,0.0150545232455182,0.08732402848169332,0.14103033479233207,0.050673717267048037,0.03171728469330236,0.025641369675296222
R6c,0.0057418507281557,0.031899119834862696,-0.028074060845938158,0.0619353126920472,0.18954019649849801,0.1108890512148157,0.02117007098537736,0.0462633531453327
