tag,label,phase,force_over_mean,ccdf
a050_mu010_g002,memory-rich,hot,0.5262183480134529,0.5
a050_mu010_g002,memory-rich,hot,0.5319503484749337,0.496410071942446
a050_mu010_g002,memory-rich,hot,0.538092435396083,0.49282014388489204
a050_mu010_g002,memory-rich,hot,0.5449289047854985,0.48923021582733817
a050_mu010_g002,memory-rich,hot,0.5505105466838258,0.4856402877697842
a050_mu010_g002,memory-rich,hot,0.5555373064602692,0.4820503597122302
a050_mu010_g002,memory-rich,hot,0.5623159894658667,0.4784604316546762
a050_mu010_g002,memory-rich,hot,0.5687426872056283,0.47487050359712235
a050_mu010_g002,memory-rich,hot,0.5767506037709677,0.47128057553956837
a050_mu010_g002,memory-rich,hot,0.5836947464782745,0.4676906474820144
a050_mu010_g002,memory-rich,hot,0.5899430115791037,0.4641007194244604
a050_mu010_g002,memory-rich,hot,0.5967712210201831,0.4605107913669064
a050_mu010_g002,memory-rich,hot,0.6032358921307984,0.45692086330935255
a050_mu010_g002,memory-rich,hot,0.609663760596875,0.4533309352517986
a050_mu010_g002,memory-rich,hot,0.6160967630654914,0.4497410071942446
a050_mu010_g002,memory-rich,hot,0.6217918796247207,0.4461510791366906
a050_mu010_g002,memory-rich,hot,0.6294630314657451,0.44256115107913674
a050_mu010_g002,memory-rich,hot,0.6358129298306234,0.43897122302158276
a050_mu010_g002,memory-rich,hot,0.6445715160202885,0.4353812949640288
a050_mu010_g002,memory-rich,hot,0.6516429528203974,0.4317913669064748
a050_mu010_g002,memory-rich,hot,0.6586527471989329,0.4282014388489208
a050_mu010_g002,memory-rich,hot,0.6650013532283984,0.42461151079136694
a050_mu010_g002,memory-rich,hot,0.6705245347763964,0.42102158273381296
a050_mu010_g002,memory-rich,hot,0.6773061755165963,0.417431654676259
a050_mu010_g002,memory-rich,hot,0.6839828820628902,0.413841726618705
a050_mu010_g002,memory-rich,hot,0.6912136044015358,0.4102517985611511
a050_mu010_g002,memory-rich,hot,0.7006856761833138,0.40666187050359714
a050_mu010_g002,memory-rich,hot,0.7079884175223696,0.40307194244604316
a050_mu010_g002,memory-rich,hot,0.715097317838656,0.3994820143884892
a050_mu010_g002,memory-rich,hot,0.7233199322933708,0.3958920863309352
a050_mu010_g002,memory-rich,hot,0.730669383962032,0.39230215827338133
a050_mu010_g002,memory-rich,hot,0.7382401818073573,0.38871223021582735
a050_mu010_g002,memory-rich,hot,0.7467488713477511,0.38512230215827337
a050_mu010_g002,memory-rich,hot,0.7568954649144388,0.3815323741007194
a050_mu010_g002,memory-rich,hot,0.7661424845437068,0.3779424460431655
a050_mu010_g002,memory-rich,hot,0.7756375687508131,0.37435251798561153
a050_mu010_g002,memory-rich,hot,0.7835625925845472,0.37076258992805755
a050_mu010_g002,memory-rich,hot,0.7921158384298266,0.36717266187050357
a050_mu010_g002,memory-rich,hot,0.8034596087387365,0.3635827338129496
a050_mu010_g002,memory-rich,hot,0.8125368308265045,0.3599928057553957
a050_mu010_g002,memory-rich,hot,0.821618535872785,0.35640287769784174
a050_mu010_g002,memory-rich,hot,0.8285475726279186,0.35281294964028775
a050_mu010_g002,memory-rich,hot,0.8391568275482906,0.3492230215827338
a050_mu010_g002,memory-rich,hot,0.8476909932130159,0.3456330935251799
a050_mu010_g002,memory-rich,hot,0.8583950557792814,0.3420431654676259
a050_mu010_g002,memory-rich,hot,0.867456400326914,0.33845323741007194
a050_mu010_g002,memory-rich,hot,0.8769896730299521,0.33486330935251796
a050_mu010_g002,memory-rich,hot,0.8886060638224688,0.331273381294964
a050_mu010_g002,memory-rich,hot,0.9012908497155295,0.3276834532374101
a050_mu010_g002,memory-rich,hot,0.9114455336959524,0.3240935251798561
a050_mu010_g002,memory-rich,hot,0.9214963496971176,0.32050359712230214
a050_mu010_g002,memory-rich,hot,0.9311800001950052,0.31691366906474816
a050_mu010_g002,memory-rich,hot,0.9398976852239556,0.3133237410071943
a050_mu010_g002,memory-rich,hot,0.9511952523290091,0.3097338129496403
a050_mu010_g002,memory-rich,hot,0.9623246495212626,0.3061438848920863
a050_mu010_g002,memory-rich,hot,0.972529916902109,0.30255395683453234
a050_mu010_g002,memory-rich,hot,0.9847484412160601,0.29896402877697836
a050_mu010_g002,memory-rich,hot,0.997782232180026,0.2953741007194245
a050_mu010_g002,memory-rich,hot,1.0077198721004712,0.2917841726618705
a050_mu010_g002,memory-rich,hot,1.0219422187681608,0.28819424460431653
a050_mu010_g002,memory-rich,hot,1.0362214663435372,0.28460431654676255
a050_mu010_g002,memory-rich,hot,1.0470322816876587,0.2810143884892087
a050_mu010_g002,memory-rich,hot,1.0603395496632462,0.2774244604316547
a050_mu010_g002,memory-rich,hot,1.0754326630104842,0.2738345323741007
a050_mu010_g002,memory-rich,hot,1.0906556555765563,0.27024460431654673
a050_mu010_g002,memory-rich,hot,1.1058535168778916,0.26665467625899275
a050_mu010_g002,memory-rich,hot,1.1194618601571706,0.2630647482014389
a050_mu010_g002,memory-rich,hot,1.1351504798443537,0.2594748201438849
a050_mu010_g002,memory-rich,hot,1.151761676927083,0.2558848920863309
a050_mu010_g002,memory-rich,hot,1.1669024285721816,0.25229496402877694
a050_mu010_g002,memory-rich,hot,1.1787974964534373,0.24870503597122307
a050_mu010_g002,memory-rich,hot,1.1978992322817592,0.24511510791366908
a050_mu010_g002,memory-rich,hot,1.2170714830157998,0.2415251798561151
a050_mu010_g002,memory-rich,hot,1.2344275214384752,0.23793525179856112
a050_mu010_g002,memory-rich,hot,1.2536647501545524,0.23434532374100714
a050_mu010_g002,memory-rich,hot,1.2695148436306969,0.23075539568345316
a050_mu010_g002,memory-rich,hot,1.2896556618449087,0.2271654676258993
a050_mu010_g002,memory-rich,hot,1.3061073863628896,0.2235755395683453
a050_mu010_g002,memory-rich,hot,1.325460113837942,0.21998561151079143
a050_mu010_g002,memory-rich,hot,1.3502603277194765,0.21639568345323745
a050_mu010_g002,memory-rich,hot,1.3673055404189307,0.21280575539568347
a050_mu010_g002,memory-rich,hot,1.386427931063325,0.2092158273381295
a050_mu010_g002,memory-rich,hot,1.4030729590475453,0.2056258992805755
a050_mu010_g002,memory-rich,hot,1.4242759062781805,0.20203597122302153
a050_mu010_g002,memory-rich,hot,1.4404779972897297,0.19844604316546754
a050_mu010_g002,memory-rich,hot,1.4616562236666264,0.19485611510791367
a050_mu010_g002,memory-rich,hot,1.4862081022993419,0.1912661870503597
a050_mu010_g002,memory-rich,hot,1.5029152579564602,0.18767625899280582
a050_mu010_g002,memory-rich,hot,1.5254845617663007,0.18408633093525184
a050_mu010_g002,memory-rich,hot,1.548404498294913,0.18049640287769786
a050_mu010_g002,memory-rich,hot,1.5745674789007211,0.17690647482014388
a050_mu010_g002,memory-rich,hot,1.5986922245195934,0.1733165467625899
a050_mu010_g002,memory-rich,hot,1.6231439472602414,0.16972661870503591
a050_mu010_g002,memory-rich,hot,1.6506205061065087,0.16613669064748193
a050_mu010_g002,memory-rich,hot,1.680189987207984,0.16254676258992806
a050_mu010_g002,memory-rich,hot,1.7089061018639256,0.15895683453237408
a050_mu010_g002,memory-rich,hot,1.7380287774857468,0.1553669064748202
a050_mu010_g002,memory-rich,hot,1.7708810946296156,0.15177697841726623
a050_mu010_g002,memory-rich,hot,1.808508013227059,0.14818705035971225
a050_mu010_g002,memory-rich,hot,1.8403738459000394,0.14459712230215827
a050_mu010_g002,memory-rich,hot,1.8875636471128063,0.14100719424460428
