bottom_side_percolation_edge_fraction_cold,bottom_side_percolation_edge_fraction_hot,bottom_side_percolation_edge_fraction_hot_minus_cold,cycle,force_h1_birth_force_share_cold,force_h1_birth_force_share_hot,force_h1_birth_force_share_hot_minus_cold,force_h1_birth_fraction_cold,force_h1_birth_fraction_hot,force_h1_birth_fraction_hot_minus_cold,force_p99_cold,force_p99_hot,force_p99_hot_minus_cold,force_share_top5_edges_cold,force_share_top5_edges_hot,force_share_top5_edges_hot_minus_cold,giant_fraction_after_top5_edges_cold,giant_fraction_after_top5_edges_hot,giant_fraction_after_top5_edges_hot_minus_cold,regime_id,run,tag,dataset,overload_asinh,loop_activation,loop_birth_fraction,force_tail,giant_fragmentation,wall_conduit,overload_asinh_rc,overload_asinh_rz,loop_activation_rc,loop_activation_rz,loop_birth_fraction_rc,loop_birth_fraction_rz,force_tail_rc,force_tail_rz,giant_fragmentation_rc,giant_fragmentation_rz,wall_conduit_rc,wall_conduit_rz,loop_breath_cost,tail_cost,topological_triplet_norm,tail_triplet_norm
0.0125435121834113,0.5359657600441806,0.5234222478607693,1,0.5772652476345654,0.4864989869392386,-0.0907662606953267,0.6612051374384827,0.5014496755488057,-0.159755461889677,0.0015791092079688,0.0020838787433817,0.0005047695354128,0.1720521500856151,0.2756554538484581,0.103603303762843,0.0030160857908847,0.001038637307852,-0.0019774484830326,R1,R1_low_expansion_low_friction,a050_mu010_g002,five-route basis,0.16747256110984632,-0.0907662606953267,-0.159755461889677,0.103603303762843,-0.0019774484830326,0.5234222478607693,0.3285150374444772,4.5219662262680185,-0.040944304213607126,-3.1812847773908435,-0.10486975986517688,-5.022277233124142,-0.057977112094406105,-2.2671939625985558,-0.04272518175836562,-2.899004090946754,0.5061531291796114,5.294138106060711,0.0,0.0,6.614232091523688,6.447657828189508
0.0025138260432378,0.0048367593712212,0.0023229333279834,2,0.6383273569603629,0.5576412706859248,-0.080686086274438,0.7261089840275361,0.6691746159702628,-0.0569343680572732,0.0013034922195961,0.0005987943552559,-0.0007046978643402,0.155120833567416,0.2703582165826844,0.1152373830152684,0.0037133819282079,0.0052930544797314,0.0015796725515235,R1,R1_low_expansion_low_friction,a050_mu010_g002,five-route basis,-0.23279102822331227,-0.080686086274438,-0.0569343680572732,0.1152373830152684,0.0015796725515235,0.0023229333279834,-0.07174855188868137,-0.9876093677419272,-0.03086412979271843,-2.398076806110663,-0.0020486660327731013,-0.0981118750333638,-0.046343032841980714,-1.8122434952737625,-0.039168060723809524,-2.65764506082041,-0.014946185353174431,-0.15633049537150737,0.0,0.0,3.5809880727714805,3.2205190543215676
0.0024804777216352,0.0018642638377202,-0.000616213883915,3,0.6270775069334835,0.5635984112266039,-0.0634790957068796,0.7144235186035829,0.6687380709308003,-0.0456854476727826,0.001109159737461,0.00045846821618,-0.0006506915212809,0.1524480692984011,0.2925271500782715,0.1400790807798703,0.0027825011593754,0.0153374233128834,0.0125549221535079,R1,R1_low_expansion_low_friction,a050_mu010_g002,five-route basis,-0.21523156681823946,-0.0634790957068796,-0.0456854476727826,0.1400790807798703,0.0125549221535079,-0.000616213883915,-0.054189090483608565,-0.7459056940140051,-0.013657139225160021,-1.0611304784432023,0.0092002543517175,0.44060583364533273,-0.021501335077378808,-0.8408093351711663,-0.02819281112182512,-1.9129485566543474,-0.017885332565072833,-0.18707267665378838,0.0,0.0,2.231480130614958,2.097934390029236
0.0005821503739196,0.0043331269939526,0.003750976620033,4,0.6328304677853313,0.5641682540628358,-0.0686622137224954,0.7211499708924813,0.6586353030808056,-0.0625146678116757,0.0010963498276984,0.0003377362273213,-0.0007586136003771,0.1499820214942882,0.2809508352334987,0.1309688137392105,0.0024957104975822,0.0242904290429042,0.021794718545322,R1,R1_low_expansion_low_friction,a050_mu010_g002,five-route basis,-0.250250990954064,-0.0686622137224954,-0.0625146678116757,0.1309688137392105,0.021794718545322,0.003750976620033,-0.0892085146194331,-1.2279434553214088,-0.018840257240775822,-1.4638476514222698,-0.007628965787175597,-0.36535585887174166,-0.030611602118038622,-1.1970661697408447,-0.01895301473001102,-1.2860066353566253,-0.013518142061124831,-0.1413937934651138,0.0,0.0,1.9824600667775558,1.7626039503387425
0.0017412821335288,0.0009863701578192,-0.0007549119757096,5,0.6300397481750608,0.5790476544170935,-0.0509920937579673,0.7187371122210512,0.6710007173601148,-0.0477363948609363,0.0010322534378066,0.0004160816419203,-0.0006161717958863,0.1493042743191577,0.2893182447545788,0.140013970435421,0.0037819098644815,0.0458858702716755,0.0421039604071939,R1,R1_low_expansion_low_friction,a050_mu010_g002,five-route basis,-0.20397326564132434,-0.0509920937579673,-0.0477363948609363,0.140013970435421,0.0421039604071939,-0.0007549119757096,-0.042930789306693445,-0.5909366609883313,-0.0011701372762477277,-0.09091716115052113,0.007149307163563795,0.3423847126792238,-0.021566445421828118,-0.8433554740612479,0.001356227131860878,0.09202320134654164,-0.018024030656867432,-0.18852339741530547,0.0,0.0,0.36600750163647006,0.8690556924548319
0.0001331144340417,0.0013424749484585,0.0012093605144167,6,0.6316087001253426,0.5738197637902611,-0.0577889363350815,0.7212583751164752,0.6625113870642949,-0.0587469880521802,0.0010571411676117,0.0003668728812552,-0.0006902682863565,0.1510553719506481,0.2851480481126416,0.1340926761619935,0.002475630512146,0.0378969842540699,0.0354213537419238,R1,R1_low_expansion_low_friction,a050_mu010_g002,five-route basis,-0.22810612433795122,-0.0577889363350815,-0.0587469880521802,0.1340926761619935,0.0354213537419238,0.0012093605144167,-0.06706364800332032,-0.9231222827435882,-0.007966979853361929,-0.6190172776426566,-0.0038612860276800998,-0.18491936028393244,-0.027487739695255614,-1.0749075838942503,-0.005326379533409219,-0.3614073813568971,-0.01605975816674113,-0.16797797501019332,0.0,0.0,0.7402653950626047,1.146411012377825
0.0010849419104018,0.0022102161100196,0.0011252741996177,7,0.634215708471902,0.5662912672514553,-0.0679244412204467,0.7233850187604539,0.6546660117878192,-0.0687190069726346,0.00101865551143,0.0003344383090714,-0.0006842172023585,0.148530037170044,0.2861473077551307,0.1376172705850867,0.0022158911047799,0.0283282351376512,0.0261123440328712,R1,R1_low_expansion_low_friction,a050_mu010_g002,five-route basis,-0.22614002552656148,-0.0679244412204467,-0.0687190069726346,0.1376172705850867,0.0261123440328712,0.0011252741996177,-0.06509754919193059,-0.8960591915323901,-0.01810248473872713,-1.4065243075525002,-0.013833304948134499,-0.6624854733070601,-0.023963145272162423,-0.9370783801278829,-0.01463538924246182,-0.9930455890497759,-0.01614384448154013,-0.168857480712543,0.0,0.0,1.8448135873334564,1.375779154234756
0.00375,0.001759186864738,-0.0019908131352619,8,0.6327066045862979,0.5746267497163013,-0.0580798548699965,0.7233482142857143,0.6572028928850665,-0.0661453214006477,0.0010721091017926,0.0003657678471804,-0.0007063412546121,0.153913747922985,0.2889060770102938,0.1349923290873088,0.0025086233929131,0.0366016564253272,0.0340930330324141,R1,R1_low_expansion_low_friction,a050_mu010_g002,five-route basis,-0.23332427736010342,-0.0580798548699965,-0.0661453214006477,0.1349923290873088,0.0340930330324141,-0.0019908131352619,-0.07228180102547252,-0.994949471883016,-0.008257898388276924,-0.6416210249613947,-0.011259619376147605,-0.5392300899627334,-0.026588086769940317,-1.0397266718580027,-0.006654700242918921,-0.45153706629858675,-0.01925993181641973,-0.2014503775067169,0.0,0.0,0.9520148905533267,1.1513034044126038
0.0024836306163919,0.0007116762347582,-0.0017719543816336,9,0.6315107237782389,0.5799838594415937,-0.0515268643366452,0.7216979002032061,0.6618588983251886,-0.0598390018780174,0.0010428493420751,0.0004050576491163,-0.0006377916929588,0.150731821289245,0.2886549550965778,0.1379231338073328,0.0020478890989287,0.0379713572460911,0.0359234681471623,R1,R1_low_expansion_low_friction,a050_mu010_g002,five-route basis,-0.21102747298136557,-0.0515268643366452,-0.0598390018780174,0.1379231338073328,0.0359234681471623,-0.0017719543816336,-0.04998499664673467,-0.6880368960122749,-0.0017049078549256289,-0.13246769019282723,-0.0049532998535173,-0.23721657334906995,-0.023657282049916323,-0.9251176041284139,-0.004824265128170718,-0.3273377377649258,-0.01904107306279143,-0.1991612116384617,0.0,0.0,0.42540496727419264,1.0013280003348835
0.0025373685181767,0.0004183516943243,-0.0021190168238524,10,0.6306273598162998,0.5837682810431576,-0.0468590787731422,0.7212585347850157,0.6655975456700599,-0.0556609891149557,0.0009631427839378,0.000405688803469,-0.0005574539804687,0.1480647656979677,0.2967282812982167,0.148663515600249,0.0024170157911698,0.0482243480539903,0.0458073322628204,R1,R1_low_expansion_low_friction,a050_mu010_g002,five-route basis,-0.18476494409353636,-0.0468590787731422,-0.0556609891149557,0.148663515600249,0.0458073322628204,-0.0021190168238524,-0.023722467758905463,-0.32653664454441517,0.002962877708577373,0.23020925456184388,-0.0007752870904556008,-0.03712897510718119,-0.012916900257000097,-0.5051151604528421,0.005059598987487375,0.3433056937295296,-0.019388135505010232,-0.20279133144728548,0.002962877708577373,0.0,0.4150104348393461,0.6435250179880941
