test,min_corrected_norm_mi,median_corrected_norm_mi,min_corrected_mi_bits,n_bin_settings_with_positive_bootstrap_q025,max_shift_p
"Psi, lag 0",0.3211285378243449,0.3541899585882479,0.4117081593825196,4,0.0006662225183211193
"Psi, lag 2",0.25401119963385016,0.3187117057857083,0.42518887937536937,4,0.0006662225183211193
"loop activation, lag 0",0.32204777392379247,0.353915454646304,0.4117081593825196,4,0.0006662225183211193
"loop activation, lag 2",0.25400697906101694,0.3183723711186107,0.42518887937536937,4,0.0006662225183211193
"top-5% tail, lag 0",5.204170427930421e-18,0.07285266777680213,5.204170427930421e-18,2,0.47901399067288475
"top-5% tail, lag 2",0.004219554992873492,0.014627405097043574,0.007745550375426062,1,0.4397068620919387
"cold loop memory, lag 0",-0.014595221799614805,-0.007281833809671914,-0.0338890555476381,0,0.810126582278481
"cold loop memory, lag 2",-0.02152506696431497,-0.0034227928828440505,-0.04997965772877476,0,0.9320453031312458
