run,cycle,phase,persistent_edges,created_edges,broken_edges,jaccard,persistent_fraction_of_current,created_fraction_of_current,broken_fraction_of_previous
R1_low_expansion_low_friction,23,cold,14650,3428,3647,0.6743383199079401,0.8103772541210311,0.1896227458789689,0.19932229327212111
R1_low_expansion_low_friction,24,cold,14696,3531,3382,0.6800870007867093,0.8062764031382016,0.19372359686179844,0.1870782166168824
R1_low_expansion_low_friction,25,cold,14779,3391,3448,0.6836432602460912,0.8133736929003853,0.18662630709961475,0.18916991276677456
R1_low_expansion_low_friction,26,cold,14694,3519,3476,0.6774862833694499,0.8067863613902158,0.19321363860978422,0.19130434782608696
R1_low_expansion_low_friction,27,cold,14682,3453,3531,0.6776516200498477,0.8095947063689,0.1904052936311001,0.19387250864766925
R1_low_expansion_low_friction,28,cold,14605,3438,3530,0.6770036619848885,0.8094551903785402,0.19054480962145984,0.19465122690929143
R1_low_expansion_low_friction,29,cold,14674,3625,3369,0.677219863393022,0.8019017432646592,0.19809825673534073,0.18672061187163996
R1_low_expansion_low_friction,30,cold,14677,3382,3622,0.676952170102855,0.81272495708511,0.18727504291489008,0.1979343133504563
R1_low_expansion_low_friction,2,hot,10336,12952,4115,0.37718497974674303,0.443833734111989,0.556166265888011,0.2847553802505017
R1_low_expansion_low_friction,3,hot,18562,5980,4726,0.6342080087467541,0.7563360769293456,0.24366392307065438,0.20293713500515287
R1_low_expansion_low_friction,4,hot,20338,4692,4204,0.6956967914072655,0.8125449460647224,0.18745505393527767,0.17129818270719582
R1_low_expansion_low_friction,5,hot,21371,4065,3659,0.7345248324454373,0.8401871363421922,0.15981286365780784,0.14618457850579306
R1_low_expansion_low_friction,6,hot,21853,3673,3583,0.7507300147720636,0.8561074982370916,0.1438925017629084,0.1408633432929706
R1_low_expansion_low_friction,7,hot,22160,3502,3366,0.7634008543475266,0.8635336294910763,0.1364663705089237,0.13186554885215074
R1_low_expansion_low_friction,8,hot,22398,3382,3264,0.7711747693155213,0.8688130333591931,0.13118696664080684,0.12719195697919103
R1_low_expansion_low_friction,9,hot,22609,3257,3171,0.7786272686572304,0.8740818062321194,0.1259181937678806,0.12300232738557021
