regime_id,n_cycles,force_p99_hot_minus_cold_mean,force_p99_hot_minus_cold_slope_per_cycle,force_p99_hot_minus_cold_early_mean,force_p99_hot_minus_cold_late_mean,force_p99_hot_minus_cold_late_minus_early,force_p99_hot_minus_cold_peak_cycle,force_share_top5_edges_hot_minus_cold_mean,force_share_top5_edges_hot_minus_cold_slope_per_cycle,force_share_top5_edges_hot_minus_cold_early_mean,force_share_top5_edges_hot_minus_cold_late_mean,force_share_top5_edges_hot_minus_cold_late_minus_early,force_share_top5_edges_hot_minus_cold_peak_cycle,force_h1_birth_force_share_hot_minus_cold_mean,force_h1_birth_force_share_hot_minus_cold_slope_per_cycle,force_h1_birth_force_share_hot_minus_cold_early_mean,force_h1_birth_force_share_hot_minus_cold_late_mean,force_h1_birth_force_share_hot_minus_cold_late_minus_early,force_h1_birth_force_share_hot_minus_cold_peak_cycle,giant_fraction_after_top5_edges_hot_minus_cold_mean,giant_fraction_after_top5_edges_hot_minus_cold_slope_per_cycle,giant_fraction_after_top5_edges_hot_minus_cold_early_mean,giant_fraction_after_top5_edges_hot_minus_cold_late_mean,giant_fraction_after_top5_edges_hot_minus_cold_late_minus_early,giant_fraction_after_top5_edges_hot_minus_cold_peak_cycle
R1,30,-0.00048590075211147997,4.7195401027830975e-06,-0.00044508104929434,-0.00039468685993789996,5.0394189356440025e-05,1,0.16158041585724908,0.0025213555178695683,0.12598051034652263,0.1814029236172276,0.05542241327070496,21,-0.04982195648171957,0.001123061481123792,-0.0709171500314214,-0.04114483857376646,0.029772311457654944,18,0.040747733275333015,0.0013147027500527938,0.01521116503490294,0.05189239123183004,0.0366812261969271,30
R3,30,0.0007070721021894365,2.0845602047096776e-06,0.000667806638468634,0.0005911763462291399,-7.663029223949416e-05,13,0.11711953684168928,0.0004998931670115638,0.11342317081638868,0.12423192897971998,0.010808758163331295,24,0.046376332194269176,0.0009051673824034308,0.028866838344574642,0.04675175213421902,0.017884913789644376,5,0.026159616085685275,0.0002764786918987555,0.02363714422890468,0.02942005217221934,0.005782907943314663,13
R5,30,0.002869255624067662,-0.00025446881611805713,0.00838468880089244,0.0006031227417596932,-0.0077815660591327475,1,0.07473126952644775,0.002731839491537524,0.020281509175158037,0.08151245340381948,0.06123094422866144,22,0.08001900519334819,-0.003515918937589357,0.12524588789434582,0.031150872515248562,-0.09409501537909726,1,0.026068746901865555,-9.869543983922204e-05,0.01713056347462686,0.01085957732772146,-0.0062709861469054,3
R6,30,0.005318642490046496,-0.0005094724108882735,0.016864611943202282,0.00206076331740284,-0.014803848625799441,1,0.07209903262516597,0.0024655241819396415,0.0150545232455182,0.08732402848169332,0.07226950523617512,17,0.07956762897549947,-0.0035698462375449267,0.14103033479233207,0.050673717267048037,-0.09035661752528404,1,0.030238574759027394,-0.0005667950289487409,0.03171728469330236,0.025641369675296222,-0.006075915018006136,11
R6c,30,0.010607241611929673,-0.0007910461018756377,0.031899119834862696,0.0057418507281557,-0.026157269106706994,1,0.04001406595950566,0.003128071261461157,-0.028074060845938158,0.0619353126920472,0.09000937353798535,23,0.12464577540098215,-0.0020320486229031508,0.18954019649849801,0.1108890512148157,-0.07865114528368232,1,0.036859915599256395,0.0011600142683276095,0.02117007098537736,0.0462633531453327,0.02509328215995534,22
