regime_id,log_amplitude_slope_per_cycle,amplitude_half_life_cycles,mean_amplitude,cv_amplitude,mean_imprint_efficiency,mean_overload_cost,mean_loop_cost,mean_irregularity,segment,n,amplitude_mean,amplitude_cv,irregularity_mean,imprint_efficiency_mean,overload_cost_mean,loop_cost_mean,next_fabric_imprint_mean,next_loop_imprint_mean
R1,-0.0047941808080498825,144.58094267034855,2.056210671304367,0.05466048884087319,0.05734793471700509,-0.0002389479343736625,-0.02418559726173118,0.07354054260307284,early,10,2.1714422122474755,0.047577010967792585,0.11857011775622962,0.1178246842921988,-0.00025861316008214804,-0.029249403724795463,0.046088418554050097,0.00566263768006635
R1,-0.0047941808080498825,144.58094267034855,2.056210671304367,0.05466048884087319,0.05734793471700509,-0.0002389479343736625,-0.02418559726173118,0.07354054260307284,late,9,1.964308003634554,0.021446616310249446,0.045121247591277766,0.027537132962404412,-0.00021536003268188546,-0.021498146385114845,-0.002461565511708922,0.00019682884652007566
R1,-0.0047941808080498825,144.58094267034855,2.056210671304367,0.05466048884087319,0.05734793471700509,-0.0002389479343736625,-0.02418559726173118,0.07354054260307284,middle,10,2.023691531264089,0.02433881158853299,0.0585912904758473,0.02370090672095198,-0.0002405118201877763,-0.02154049658762159,0.005123133221244151,-0.0003926640919500601
R3,-0.003312461113420438,209.25443554692887,2.4059573896105713,0.1484304644221742,0.15859514829716043,0.0002702270354521125,0.018285202809243038,0.6747058166935732,early,10,2.4902893010334353,0.1642117117734412,0.7639251590307821,0.20842514969462114,0.00021354341253145972,0.012089485151221976,-0.10705172584314111,-0.010239675510546348
R3,-0.003312461113420438,209.25443554692887,2.4059573896105713,0.1484304644221742,0.15859514829716043,0.0002702270354521125,0.018285202809243038,0.6747058166935732,late,9,2.3482367508121724,0.1154536675704568,0.5503998869722468,0.12587941073458797,0.0003110480411942061,0.022291713265627146,-0.02835195991164742,0.0009367389254118558
R3,-0.003312461113420438,209.25443554692887,2.4059573896105713,0.1484304644221742,0.15859514829716043,0.0002702270354521125,0.018285202809243038,0.6747058166935732,middle,10,2.373574053106265,0.14913666642587445,0.7062837453392791,0.1382093107060151,0.0002901717532048812,0.02087506105651841,-0.008723172782118472,4.7239479625829924e-05
R6,-0.0445299076405082,15.565879591661211,3.6170152496452364,0.6548820859077299,0.10589072489193525,0.0011972728171948136,0.022860141239113393,0.51091697458895,early,10,5.5541469352765915,0.5708756433211124,1.2035046774896068,0.04262268149068742,0.0017004919606710364,0.023165470781777903,-0.04252793986747104,-0.0003985637249685969
R6,-0.0445299076405082,15.565879591661211,3.6170152496452364,0.6548820859077299,0.10589072489193525,0.0011972728171948136,0.022860141239113393,0.51091697458895,late,9,2.2147804586195363,0.07089672585661287,0.19382783792568314,0.20497103818317644,0.0007836860175209188,0.021473605598391718,-0.05683578940427917,0.0002544493024943333
R6,-0.0445299076405082,15.565879591661211,3.6170152496452364,0.6548820859077299,0.10589072489193525,0.0011972728171948136,0.022860141239113393,0.51091697458895,middle,10,2.941894875937012,0.1586343160870937,0.17296826497529877,0.07998648633106603,0.0010662817934250972,0.02380269377309838,0.03835426762931462,0.00012508170879988993
