tag,regime_id,phase,theta_bin_left_deg,theta_bin_right_deg,count_fraction,force_fraction
a050_mu010_g002,R1,cold,0.0,10.0,0.025696622993172172,0.028485986630471846
a050_mu010_g002,R1,cold,10.0,20.0,0.05453035615427201,0.06466258134914962
a050_mu010_g002,R1,cold,20.0,30.0,0.09111459678907548,0.10805207070234626
a050_mu010_g002,R1,cold,30.0,40.0,0.1608691640524082,0.18992654625174712
a050_mu010_g002,R1,cold,40.0,50.0,0.1433382542904595,0.14663908377089438
a050_mu010_g002,R1,cold,50.0,60.0,0.12239343052223657,0.1143968625495392
a050_mu010_g002,R1,cold,60.0,70.0,0.10915298025465953,0.09666817714423423
a050_mu010_g002,R1,cold,70.0,80.0,0.10915298025465953,0.09281422754543049
a050_mu010_g002,R1,cold,80.0,90.0,0.183751614689057,0.15835446405618686
a050_mu010_g002,R1,hot,0.0,10.0,0.014967693952493841,0.009667896128969145
a050_mu010_g002,R1,hot,10.0,20.0,0.034211871891414496,0.023779218954350048
a050_mu010_g002,R1,hot,20.0,30.0,0.06447264444754335,0.04399837314314613
a050_mu010_g002,R1,hot,30.0,40.0,0.10458792358109051,0.08784594605194203
a050_mu010_g002,R1,hot,40.0,50.0,0.11067726490958955,0.08810176233023992
a050_mu010_g002,R1,hot,50.0,60.0,0.12192627713475573,0.10231102696316312
a050_mu010_g002,R1,hot,60.0,70.0,0.14010133407706968,0.10613323383279243
a050_mu010_g002,R1,hot,70.0,80.0,0.15223353321247618,0.13283842871819082
a050_mu010_g002,R1,hot,80.0,90.0,0.2565425556640171,0.40394756645445157
a050_mu060_g002,R2,cold,0.0,10.0,0.030648659995801554,0.03594725332375822
a050_mu060_g002,R2,cold,10.0,20.0,0.06129731999160311,0.0744049266604924
a050_mu060_g002,R2,cold,20.0,30.0,0.10503113847876286,0.1260196435594542
a050_mu060_g002,R2,cold,30.0,40.0,0.17080680148345112,0.19402041497163175
a050_mu060_g002,R2,cold,40.0,50.0,0.14582604436358548,0.15573515118509546
a050_mu060_g002,R2,cold,50.0,60.0,0.12133510601077602,0.11770790225744181
a050_mu060_g002,R2,cold,60.0,70.0,0.11020922258764257,0.09754995259310743
a050_mu060_g002,R2,cold,70.0,80.0,0.09726401231544328,0.07965626896705505
a050_mu060_g002,R2,cold,80.0,90.0,0.15758169477293402,0.11895848648196367
a050_mu060_g002,R2,hot,0.0,10.0,0.016114811912225704,0.009398998109211631
a050_mu060_g002,R2,hot,10.0,20.0,0.02943769592476489,0.016904196134286443
a050_mu060_g002,R2,hot,20.0,30.0,0.052556818181818184,0.03945779286264026
a050_mu060_g002,R2,hot,30.0,40.0,0.09281935736677116,0.07958008358862137
a050_mu060_g002,R2,hot,40.0,50.0,0.11393025078369906,0.09472541520397605
a050_mu060_g002,R2,hot,50.0,60.0,0.12720415360501566,0.10759553694865552
a050_mu060_g002,R2,hot,60.0,70.0,0.1447884012539185,0.128407390866835
a050_mu060_g002,R2,hot,70.0,80.0,0.16442985893416928,0.14464285381801506
a050_mu060_g002,R2,hot,80.0,90.0,0.25871865203761757,0.3792877324677586
a100_mu030_g002,R3,cold,0.0,10.0,0.020419957618955886,0.023025530211048927
a100_mu030_g002,R3,cold,10.0,20.0,0.04758235407435947,0.055115278454358416
a100_mu030_g002,R3,cold,20.0,30.0,0.1051820458485841,0.12860177328004732
a100_mu030_g002,R3,cold,30.0,40.0,0.23482951261799268,0.2580524925413553
a100_mu030_g002,R3,cold,40.0,50.0,0.15006742438836448,0.1416416974173741
a100_mu030_g002,R3,cold,50.0,60.0,0.1136582546715469,0.10686047874810045
a100_mu030_g002,R3,cold,60.0,70.0,0.07879021383163166,0.0664723882185469
a100_mu030_g002,R3,cold,70.0,80.0,0.07493739163937584,0.06024386904450385
a100_mu030_g002,R3,cold,80.0,90.0,0.17453284530918897,0.1599864920846649
a100_mu030_g002,R3,hot,0.0,10.0,0.012317604699639948,0.01028582366505552
a100_mu030_g002,R3,hot,10.0,20.0,0.03543680121281031,0.026766951983984114
a100_mu030_g002,R3,hot,20.0,30.0,0.049838923630850865,0.03590802355747395
a100_mu030_g002,R3,hot,30.0,40.0,0.09209778283115407,0.07534949146024712
a100_mu030_g002,R3,hot,40.0,50.0,0.10507864316846693,0.07525936052109682
a100_mu030_g002,R3,hot,50.0,60.0,0.12270229296949024,0.08899832458180404
a100_mu030_g002,R3,hot,60.0,70.0,0.1317036194807656,0.10619821774970017
a100_mu030_g002,R3,hot,70.0,80.0,0.14800075800644305,0.13936607402161813
a100_mu030_g002,R3,hot,80.0,90.0,0.3026340723896153,0.44186551707780436
a100_mu060_g000,R4,cold,0.0,10.0,0.02454615187931475,0.030698047359805598
a100_mu060_g000,R4,cold,10.0,20.0,0.03400664791613398,0.038439680965225535
a100_mu060_g000,R4,cold,20.0,30.0,0.10125287650217336,0.12265311656053852
a100_mu060_g000,R4,cold,30.0,40.0,0.2352339555100997,0.26291838393908595
a100_mu060_g000,R4,cold,40.0,50.0,0.1367936589107645,0.1467639960053781
a100_mu060_g000,R4,cold,50.0,60.0,0.1148043978522117,0.09600035733675026
a100_mu060_g000,R4,cold,60.0,70.0,0.09946305292763999,0.08678238928401602
a100_mu060_g000,R4,cold,70.0,80.0,0.07338276655586806,0.06134331878338311
a100_mu060_g000,R4,cold,80.0,90.0,0.18051649194579392,0.15440070976581688
a100_mu060_g000,R4,hot,0.0,10.0,0.01557961447055717,0.009220858524872734
a100_mu060_g000,R4,hot,10.0,20.0,0.03124724936185195,0.01673033732881634
a100_mu060_g000,R4,hot,20.0,30.0,0.060734090308951674,0.03753950737318585
a100_mu060_g000,R4,hot,30.0,40.0,0.09369773787518704,0.07058118981039652
a100_mu060_g000,R4,hot,40.0,50.0,0.10901329108353137,0.0813198322809077
a100_mu060_g000,R4,hot,50.0,60.0,0.13379103952116891,0.10631517174012785
a100_mu060_g000,R4,hot,60.0,70.0,0.14219698970161077,0.11360095123394512
a100_mu060_g000,R4,hot,70.0,80.0,0.15650030807147258,0.13358379139044713
a100_mu060_g000,R4,hot,80.0,90.0,0.2571516591849309,0.43088307743254084
a150_mu010_g002,R5,cold,0.0,10.0,0.018002322880371662,0.024549262710218574
a150_mu010_g002,R5,cold,10.0,20.0,0.04510259388308169,0.06211129775390059
a150_mu010_g002,R5,cold,20.0,30.0,0.11014324428958576,0.130764494223515
a150_mu010_g002,R5,cold,30.0,40.0,0.2497096399535424,0.26399437661983133
a150_mu010_g002,R5,cold,40.0,50.0,0.15234223770809135,0.152300912782431
a150_mu010_g002,R5,cold,50.0,60.0,0.10956252419667054,0.10365860465866125
a150_mu010_g002,R5,cold,60.0,70.0,0.08343012001548587,0.06973747514552223
a150_mu010_g002,R5,cold,70.0,80.0,0.07549361207897794,0.055899069308685344
a150_mu010_g002,R5,cold,80.0,90.0,0.1562137049941928,0.1369845067972347
a150_mu010_g002,R5,hot,0.0,10.0,0.01795361527967258,0.021825543943441987
a150_mu010_g002,R5,hot,10.0,20.0,0.03841746248294679,0.045284035565799526
a150_mu010_g002,R5,hot,20.0,30.0,0.0679399727148704,0.06925188308268168
a150_mu010_g002,R5,hot,30.0,40.0,0.11612551159618008,0.10287425847414536
a150_mu010_g002,R5,hot,40.0,50.0,0.11748976807639837,0.12427189088062296
a150_mu010_g002,R5,hot,50.0,60.0,0.1311869031377899,0.13084557975380448
a150_mu010_g002,R5,hot,60.0,70.0,0.12731241473396998,0.14116008567232202
a150_mu010_g002,R5,hot,70.0,80.0,0.13986357435197816,0.1531999665237164
a150_mu010_g002,R5,hot,80.0,90.0,0.24360163710777627,0.211284505656435
a150_mu060_g020,R6,cold,0.0,10.0,0.016815554387808723,0.014761387685325466
a150_mu060_g020,R6,cold,10.0,20.0,0.02995270625328429,0.027999969924165178
a150_mu060_g020,R6,cold,20.0,30.0,0.11245401996847083,0.14579744566300065
a150_mu060_g020,R6,cold,30.0,40.0,0.22017866526537047,0.2518592322449686
a150_mu060_g020,R6,cold,40.0,50.0,0.14608512874408827,0.16653459408560806
a150_mu060_g020,R6,cold,50.0,60.0,0.10509721492380451,0.10542624019915328
a150_mu060_g020,R6,cold,60.0,70.0,0.116132422490804,0.08956500099248112
a150_mu060_g020,R6,cold,70.0,80.0,0.1024697845507094,0.07168621392620785
a150_mu060_g020,R6,cold,80.0,90.0,0.1508145034156595,0.12636991527908983
a150_mu060_g020,R6,hot,0.0,10.0,0.01604127201644432,0.009994918986002682
a150_mu060_g020,R6,hot,10.0,20.0,0.040224094151787515,0.02622361895606473
a150_mu060_g020,R6,hot,20.0,30.0,0.06376204103018822,0.046156534410046114
a150_mu060_g020,R6,hot,30.0,40.0,0.10128572004352908,0.08411503477452692
a150_mu060_g020,R6,hot,40.0,50.0,0.11297408407561163,0.09044871093445268
a150_mu060_g020,R6,hot,50.0,60.0,0.12845109024223128,0.10157606985616954
a150_mu060_g020,R6,hot,60.0,70.0,0.13969610253516584,0.11896993253325908
a150_mu060_g020,R6,hot,70.0,80.0,0.1596066260932651,0.1421905898913009
a150_mu060_g020,R6,hot,80.0,90.0,0.23787836040465923,0.38030706883329174
