regime_id,cycle,signed_area_increment,cumulative_signed_area,normalised_cumulative_signed_area,signed_progress_to_final,final_signed_area
R1,1,7.627877884154185,7.627877884154185,1.012449003247343,1.012449003247343,7.534086022790703
R1,2,-0.7488878846636134,6.878989999490572,0.9130490385537864,0.9130490385537864,7.534086022790703
R1,3,0.3503217964107411,7.229311795901313,0.9595472860321154,0.9595472860321154,7.534086022790703
R1,4,0.030082048257283972,7.259393844158597,0.9635400793405916,0.9635400793405916,7.534086022790703
R1,5,-0.009331206075395304,7.250062638083201,0.9623015474142016,0.9623015474142016,7.534086022790703
R1,6,-0.0056853971780858326,7.2443772409051155,0.9615469240715842,0.9615469240715842,7.534086022790703
R1,7,0.07707032680324916,7.321447567708365,0.9717764763450929,0.9717764763450929,7.534086022790703
R1,8,0.04519675237591016,7.366644320084275,0.9777754458603319,0.9777754458603319,7.534086022790703
R1,9,0.03198665422124282,7.398630974305518,0.9820210377110864,0.9820210377110864,7.534086022790703
R1,10,-0.031060921012303608,7.367570053293214,0.9778983185228074,0.9778983185228074,7.534086022790703
R1,11,0.0839338248627996,7.4515038781560134,0.9890388635881144,0.9890388635881144,7.534086022790703
R1,12,0.09044080131230287,7.541944679468316,1.00104308029585,1.00104308029585,7.534086022790703
R1,13,-0.014603794426769156,7.527340885041547,0.9991047171841745,0.9991047171841745,7.534086022790703
R1,14,-0.011156971994561832,7.516183913046985,0.9976238511626276,0.9976238511626276,7.534086022790703
R1,15,0.012938249936428465,7.5291221629834135,0.9993411463856036,0.9993411463856036,7.534086022790703
R1,16,-0.02676027996965874,7.502361883013755,0.9957892517179945,0.9957892517179945,7.534086022790703
R1,17,0.09378867636971888,7.596150559383474,1.008237832220793,1.008237832220793,7.534086022790703
R1,18,-0.07839220694918751,7.517758352434287,0.9978328266617842,0.9978328266617842,7.534086022790703
R1,19,-0.05280871710515189,7.464949635329135,0.9908235202979592,0.9908235202979592,7.534086022790703
R1,20,0.07589857921054645,7.540848214539682,1.0008975463949472,1.0008975463949472,7.534086022790703
R1,21,0.003919704653965631,7.544767919193648,1.00141780919021,1.00141780919021,7.534086022790703
R1,22,-0.06458910973217158,7.480178809461476,0.9928448901212228,0.9928448901212228,7.534086022790703
R1,23,0.06991996335093821,7.550098772812414,1.002125373930331,1.002125373930331,7.534086022790703
