predictor,column,observed_spearman,ci_low_95,ci_high_95,bootstrap_n
A,A,0.8312495443610118,0.690302632103833,0.8899242702969423,2500
L+,L_plus,0.9090430600637708,0.8366582642151597,0.9450179164842321,2500
eta,eta,-0.6158234307793248,-0.7302595959833241,-0.28942817024341844,2500
Hb,log_H_b,0.8002843187285849,0.6342596439781011,0.8940576606751767,2500
Vb,breathing_vital_index,0.7748414376321351,0.6545067802187192,0.852587864803387,2500
Em,E_m,-0.6852354065752463,-0.7892698339981744,-0.5016820404511483,2500
