bootstrap_id,angle_degrees,cold_r2,hot_r2
0,98.43012358430327,0.9987383995219776,0.996379970331038
1,104.77718253969546,0.9915191187250268,0.9823598632590518
2,102.55334509210587,0.9946585464411956,0.9931624497875494
3,59.862877183767225,1.0,1.0
4,95.44106808444398,0.9700697720139745,0.9995658383803011
5,79.19422024786132,1.0,1.0
6,101.4335672150099,0.9743177355981348,0.9820128507750214
7,75.9676821091276,1.0,1.0
8,74.30298340159578,1.0,1.0
9,106.70742367734003,1.0,1.0
10,152.4211456794785,1.0,1.0
11,137.1421231810241,0.9992675959611327,0.9999735807124442
12,84.7957753833769,0.9427714561621272,0.9827203709833943
13,98.43012358430327,0.9987383995219776,0.996379970331038
14,77.1635240118225,0.9680785966192513,0.9804900087570969
15,34.999574790226696,1.0,1.0
16,86.95290264798152,0.9431518566684431,0.9842602617934703
17,143.85782556874645,1.0,1.0
18,86.75614122291769,0.9715831653403486,0.9864355710787723
19,70.89379480028005,0.9490910136179368,0.9878931143652706
20,88.04447631401243,0.9619059736057254,0.9993545401715295
21,117.84059871484905,1.0,1.0
22,73.70607651187086,1.0,1.0
23,59.8628771837672,1.0,1.0
24,84.85264230987086,0.9875483753906803,0.9927204727312462
25,90.76691145857545,0.9659588673738966,0.999602926720219
26,78.93738747629261,0.9897884958397386,0.9999451785232318
27,83.05734974446975,0.963713051019165,0.9792276215089991
28,78.9373874762926,0.9897884958397386,0.9999451785232318
29,92.75496656354629,0.9838077991607957,0.9996736234827043
30,95.44106808444398,0.9700697720139745,0.9995658383803011
31,71.29739977085057,0.9560303499404557,0.9879370577011267
32,78.93738747629259,0.9897884958397386,0.9999451785232318
33,92.06753544209143,0.975468845180173,0.9906036801486203
34,83.50466803278042,0.9871087984484843,0.9916979639839035
35,152.6660876382942,1.0,1.0
36,79.77761876161411,0.9929850653751066,0.9999722432266214
37,64.63357829034334,0.9778925345584393,0.9992495829669075
38,67.19612441358048,0.9900271099864214,0.9994758926621449
39,106.70742367734005,1.0,1.0
40,118.07888374841171,1.0,1.0
41,75.96522745031984,0.9819470220713217,0.9999421141494721
42,59.91651041740183,1.0,1.0
43,74.00108154321417,1.0,1.0
44,99.0684501334358,0.9773440806837952,0.9812582066251436
45,86.8087549040346,0.9699209667460426,0.9921101357071695
46,79.76346861489513,0.9615286839742763,0.9946395362501336
47,87.34113158737583,0.9840157973527184,0.9978307263642785
48,77.29416618788571,0.9718629191542758,0.981184660270767
49,78.70014326011989,0.9714733160778697,0.9838689880243402
50,77.64877065240898,0.9418236848228667,0.986857480524895
51,92.84245144014352,0.9773688697322643,0.9812706405558738
52,83.50466803278039,0.9871087984484843,0.9916979639839035
53,97.44063535159468,0.9796245084832513,0.9823114089160283
54,105.50363767571756,1.0,1.0
55,86.04723707723618,1.0,1.0
56,99.20728619057193,0.999175129013113,0.9974373113561764
57,88.67657444347635,1.0,1.0
58,89.07108474227667,0.9780736275510268,0.9993698950439085
59,92.66245867270963,0.97308103330078,0.9917136181109385
60,77.91927060753467,1.0,1.0
61,90.64757167040544,0.9569320240308424,0.9991444036241683
62,92.75496656354628,0.9838077991607957,0.9996736234827043
63,79.50436254839808,0.9567208348174694,0.9826458242539242
64,73.96852576621316,0.9685500478242525,0.9885745092611212
65,81.03138846451212,0.9771513635663697,0.9953758129757578
