tag,regime_id,phase,contacts,force_sum,force_mean,force_p99,bottom_top_percolation_edge_fraction,bottom_side_percolation_edge_fraction,giant_fraction_after_top1_edges,giant_fraction_after_top5_edges,giant_fraction_after_top10_edges,force_share_top1_edges,force_share_top5_edges,force_share_top10_edges,force_h1_births,force_h1_birth_fraction,force_h1_birth_force_share
a050_mu010_g002,R1,cold,21676.0,6.455995796890421,0.0002978407361547528,0.0009631427839378353,0.16345266654364274,0.0025373685181767852,0.0009668063164679343,0.0024170157911698356,0.00821785368997744,0.03759480913420663,0.14806476569796773,0.25893598921625643,15634.0,0.7212585347850157,0.6306273598162998
a050_mu010_g002,R1,hot,21513.0,1.2472956049125343,5.797869218205431e-05,0.0004056888034690874,0.6079579788964812,0.000418351694324362,0.0022277552090158564,0.048224348053990305,0.09867645131699646,0.0945250705496166,0.29672828129821677,0.44322194854540686,14319.0,0.6655975456700599,0.5837682810431576
a050_mu060_g002,R2,cold,14291.0,4.2674984417363575,0.0002986144035922159,0.0010501863209841093,0.4597998740466028,0.004968161780141348,0.0007883326763894363,0.002364998029168309,0.005124162396531336,0.04065238682691835,0.15534112005294426,0.26712803684687114,9396.0,0.6574767336085648,0.579939732328111
a050_mu060_g002,R2,hot,20416.0,4.132535211512168,0.00020241649742908343,0.0012522663234752604,0.6652625391849529,0.0005387931034482759,0.0017112017901803344,0.021192576016848756,0.1030670001316309,0.07625473246364597,0.258440692085976,0.41058689092599837,13175.0,0.6453271943573667,0.5868351249411123
a100_mu030_g002,R3,cold,5191.0,1.1943954713776033,0.0002300896689226745,0.0009656121555816908,,0.0032748988634174535,0.0010964912280701754,0.001827485380116959,0.0029239766081871343,0.050991397163655985,0.18383538192989385,0.3082715331702856,2831.0,0.5453669813138123,0.5065948241406742
a100_mu030_g002,R3,hot,10554.0,1.1406678497674876,0.00010807919743864767,0.0008473613936390311,,0.0010422588592003033,0.002107481559536354,0.012996136283807516,0.027221636810677907,0.1043959092640872,0.31597593774039473,0.46575685856951826,5781.0,0.5477544059124503,0.5082599142815035
a100_mu060_g000,R4,cold,3911.0,0.8466308803500814,0.00021647427265407347,0.0008872490339904894,,0.004858092559447712,0.0008080808080808081,0.0016161616161616162,0.0024242424242424242,0.04998175459709425,0.18494877672918927,0.3132813514227835,1997.0,0.5106110969061621,0.4944931652250348
a100_mu060_g000,R4,hot,22722.0,13.58706565546407,0.0005979696177917467,0.004191727630990499,0.31449696329548454,0.00048411231405686117,0.0032948929159802307,0.054999366366746925,0.10733747307058675,0.09052216547557901,0.2818911265187097,0.4304699573740994,15100.0,0.664554176568964,0.5936824832374749
a150_mu010_g002,R5,cold,5166.0,1.678672909588537,0.00032494636267683643,0.0013243163114280828,,0.011227255129694155,0.000939261114589856,0.0012523481527864746,0.0031308703819661866,0.04799566197671634,0.18255954747743733,0.3112584736486312,2673.0,0.5174216027874564,0.4965791473223157
a150_mu010_g002,R5,hot,18325.0,6.83195625970956,0.00037282162399506467,0.0021896305369628302,0.35066848567530695,0.13773533424283765,0.0004143646408839779,0.0008287292817679558,0.0015193370165745856,0.07295324632996475,0.24709899926112122,0.39210898409824246,11484.0,0.6266848567530696,0.5221932209762218
a150_mu060_g020,R6,cold,1903.0,0.4380182344471188,0.0002301724826311712,0.0010509031668222055,,0.011035207566999475,0.0012658227848101266,0.0018987341772151898,0.0018987341772151898,0.06401190740844569,0.20372654823384917,0.3339027916946168,944.0,0.49605885444035736,0.4896482694843195
a150_mu060_g020,R6,hot,24811.0,21.11430190407199,0.0008510056790968518,0.005455324554708792,0.38410382491636774,0.0011688364032082545,0.005752636625119847,0.047818791946308725,0.10882070949185044,0.08474202100078711,0.2583947608061066,0.3921224001937745,16698.0,0.6730079400266011,0.5904353037540175
