predictor,n,spearman_raw,p_raw,spearman_route_centered,p_route_centered
loop abundance change,150,0.914609538201698,4.492672572083085e-60,0.8380763589492868,8.778807135596037e-41
loop-force enrichment change,150,-0.6834063736166052,5.666258000291656e-22,-0.40970887595004224,1.926386236043958e-07
log loop-enrichment ratio,150,-0.6810702697897686,8.838590593980832e-22,-0.41401484510422687,1.3907054428366533e-07
loop force-share change,150,0.937031868083026,1.686477327401687e-69,0.8911453842392996,1.174060233974462e-52
top-5% force-tail change,150,-0.820258678163474,9.874724675792547e-38,-0.49011422729899107,1.942205687282369e-10
