run,tag,regime_id,folder,cycle,phase,contacts,force_sum,force_mean,force_p99,bottom_top_percolation_edge_fraction,bottom_side_percolation_edge_fraction,giant_fraction_after_top1_edges,giant_fraction_after_top5_edges,giant_fraction_after_top10_edges,force_share_top1_edges,force_share_top5_edges,force_share_top10_edges,force_h1_births,force_h1_birth_fraction,force_h1_birth_force_share
R1_low_expansion_low_friction,a050_mu010_g002,R1,a050_mu010_g002_c30,1,cold,16662.0,6.771324300514778,0.000406393248140366,0.0015791092079688307,0.7365862441483615,0.012543512183411355,0.0008378016085790885,0.0030160857908847183,0.009215817694369972,0.04711651801658754,0.1720521500856151,0.28969286587190907,11017.0,0.6612051374384827,0.5772652476345654
R1_low_expansion_low_friction,a050_mu010_g002,R1,a050_mu010_g002_c30,1,hot,7243.0,2.282251443297768,0.0003150975346262278,0.002083878743381711,,0.5359657600441806,0.0006231823847112588,0.001038637307852098,0.0012463647694225177,0.09918859926943982,0.27565545384845813,0.41060505300972683,3632.0,0.5014496755488057,0.48649898693923865
R1_low_expansion_low_friction,a050_mu010_g002,R1,a050_mu010_g002_c30,2,cold,25857.0,9.666943890951147,0.0003738617740244865,0.0013034922195961957,0.3123718915574119,0.002513826043237808,0.0009627286480539128,0.0037133819282079493,0.01650391968092422,0.040775708568794,0.15512083356741602,0.26647602478908217,18775.0,0.7261089840275361,0.6383273569603629
R1_low_expansion_low_friction,a050_mu010_g002,R1,a050_mu010_g002_c30,2,hot,22329.0,2.182065242869527,9.772337511171692e-05,0.0005987943552559183,0.3020287518473734,0.0048367593712212815,0.0011618900077459333,0.005293054479731474,0.011618900077459334,0.10954678986150324,0.27035821658268444,0.39773143593229604,14942.0,0.6691746159702628,0.5576412706859248
R1_low_expansion_low_friction,a050_mu010_g002,R1,a050_mu010_g002_c30,3,cold,21770.0,7.168468101763428,0.0003292819523088391,0.0011091597374610818,0.5877354157096922,0.002480477721635278,0.0010820837842015767,0.002782501159375483,0.016540423558509817,0.03908642980207788,0.15244806929840118,0.2645966375449705,15553.0,0.7144235186035829,0.6270775069334835
R1_low_expansion_low_friction,a050_mu010_g002,R1,a050_mu010_g002_c30,3,hot,22529.0,1.485666336671636,6.594461967560193e-05,0.0004584682161800968,0.5324248746060632,0.0018642638377202717,0.0031952965235173825,0.015337423312883436,0.05930470347648262,0.11299394679665115,0.2925271500782715,0.42615875799761976,15066.0,0.6687380709308003,0.5635984112266039
R1_low_expansion_low_friction,a050_mu010_g002,R1,a050_mu010_g002_c30,4,cold,22331.0,7.334798581985545,0.00032845813362525393,0.0010963498276984577,0.5357126864000716,0.0005821503739196633,0.0007799095304944627,0.0024957104975822804,0.005927312431757916,0.03906507516570489,0.1499820214942882,0.2595143603375123,16104.0,0.7211499708924813,0.6328304677853313
R1_low_expansion_low_friction,a050_mu010_g002,R1,a050_mu010_g002_c30,4,hot,21001.0,1.1144618955650767,5.306708707038125e-05,0.00033773622732132246,0.5877339174325033,0.004333126993952669,0.0018481848184818482,0.02429042904290429,0.05201320132013201,0.10427896142543336,0.28095083523349873,0.416888921314979,13832.0,0.6586353030808056,0.5641682540628358
R1_low_expansion_low_friction,a050_mu010_g002,R1,a050_mu010_g002_c30,5,cold,21823.0,6.787327811440285,0.00031101717506485293,0.001032253437806647,0.2883654859551849,0.0017412821335288458,0.0006303183107469272,0.003781909864481563,0.014497321147179325,0.03796805111814499,0.14930427431915777,0.25978854209834534,15685.0,0.7187371122210512,0.6300397481750608
R1_low_expansion_low_friction,a050_mu010_g002,R1,a050_mu010_g002_c30,5,hot,22304.0,1.3445878825882716,6.028460736138233e-05,0.0004160816419203052,0.3936065279770445,0.0009863701578192252,0.003639672429481347,0.04588587027167555,0.09450149486546211,0.10013229732077904,0.28931824475457885,0.4297218236812559,14966.0,0.6710007173601148,0.5790476544170935
R1_low_expansion_low_friction,a050_mu010_g002,R1,a050_mu010_g002_c30,6,cold,22537.0,7.064447306698896,0.0003134599683497757,0.0010571411676117493,0.23157474375471446,0.00013311443404179793,0.0007736345350456444,0.002475630512146062,0.011604518025684667,0.0391080317760358,0.15105537195064814,0.2624533064697477,16255.0,0.7212583751164752,0.6316087001253426
R1_low_expansion_low_friction,a050_mu010_g002,R1,a050_mu010_g002_c30,6,hot,20857.0,1.1039429236517908,5.292913284037929e-05,0.0003668728812552055,0.6662031931725559,0.001342474948458551,0.003469442220443021,0.03789698425406992,0.0906058179877235,0.0968343133002234,0.28514804811264166,0.42692299521571425,13818.0,0.6625113870642949,0.5738197637902611
R1_low_expansion_low_friction,a050_mu010_g002,R1,a050_mu010_g002_c30,7,cold,22121.0,6.905989995984698,0.00031219158247749643,0.0010186555114300036,0.7203562225939153,0.0010849419104018805,0.0007913896802785691,0.0022158911047799935,0.006014561570117125,0.0377989221434897,0.14853003717004404,0.2591245512188116,16002.0,0.7233850187604539,0.634215708471902
R1_low_expansion_low_friction,a050_mu010_g002,R1,a050_mu010_g002_c30,7,hot,20360.0,0.9917182569767827,4.870914818157086e-05,0.000334438309071454,0.581090373280943,0.0022102161100196463,0.001462960500066498,0.028328235137651283,0.08618167309482644,0.09666367967831983,0.28614730775513075,0.4263839291785681,13329.0,0.6546660117878192,0.5662912672514553
R1_low_expansion_low_friction,a050_mu010_g002,R1,a050_mu010_g002_c30,8,cold,22400.0,6.9563019618210795,0.00031054919472415534,0.001072109101792643,0.3317857142857143,0.00375,0.0007839448102853559,0.002508623392913139,0.0070555032925682035,0.03983348529168067,0.153913747922985,0.2648768443708656,16203.0,0.7233482142857143,0.6327066045862979
