run,tag,regime_id,folder,cycle,phase,contacts,force_sum,force_mean,force_p99,bottom_top_percolation_edge_fraction,bottom_side_percolation_edge_fraction,giant_fraction_after_top1_edges,giant_fraction_after_top5_edges,giant_fraction_after_top10_edges,force_share_top1_edges,force_share_top5_edges,force_share_top10_edges,force_h1_births,force_h1_birth_fraction,force_h1_birth_force_share
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,1,cold,13841.0,7.480376662324886,0.0005404505933332047,0.0018742449816674827,0.8291308431471714,0.008669893793801026,0.0007493443237167478,0.0014986886474334957,0.002810041213937804,0.04015681168221921,0.1537968848773549,0.26645470067269245,8849.0,0.6393324181778773,0.5652004030026888
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,1,hot,13059.0,6.839360092574166,0.0005237277044623759,0.003468667964434377,0.8818439390458688,0.008653036220231258,0.0005990714392691329,0.0016474464579901153,0.0025460536168938146,0.08855662990649744,0.2726864430032141,0.4242998292984783,7156.0,0.5479745769201317,0.5017657880794864
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,2,cold,1900.0,0.506834140462646,0.00026675481076981366,0.0012362475267493475,,0.11842105263157894,0.0012158054711246201,0.00182370820668693,0.00182370820668693,0.0550855718938799,0.2087450805389045,0.34608949992564614,944.0,0.4968421052631579,0.48915967104084657
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,2,hot,8113.0,1.9304256155634176,0.0002379422674181459,0.0024080337057280003,,0.14347343769259213,0.0007603117278084015,0.0034214027751378064,0.0043717924348983086,0.17582761244767436,0.41367574941571894,0.5654310962811371,4090.0,0.5041291753975101,0.48613199312203476
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,3,cold,3626.0,1.0573315101354472,0.00029159721735671465,0.00127889406947513,,0.07170435741864313,0.00078125,0.001171875,0.002734375,0.054047134223029855,0.1904236344645008,0.32066455636753033,1825.0,0.5033094318808604,0.49213592497424274
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,3,hot,21836.0,8.724396610757736,0.0003995418854532761,0.0020836508873062327,0.36691701776882213,0.002198204799413812,0.0005167958656330749,0.0024547803617571058,0.004521963824289405,0.06885340741055278,0.22537174261901863,0.3574573000352945,14383.0,0.6586829089576846,0.549398874342601
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,4,cold,1965.0,0.5770343411094927,0.00029365615323638305,0.0013033473590852757,,0.19338422391857507,0.001218769043266301,0.0018281535648994515,0.0018281535648994515,0.07159745946092214,0.20964481881166416,0.33771417036409873,982.0,0.4997455470737914,0.4892380603935453
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,4,hot,6361.0,1.2058251972574496,0.00018956535092869826,0.001845292698666257,,0.2548341455745952,0.00065359477124183,0.0015250544662309367,0.0015250544662309367,0.1746464640103372,0.38793501481768805,0.5265614531680285,3181.0,0.5000786039930829,0.48600177704239267
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,5,cold,6606.0,2.3700884212702613,0.0003587781443037029,0.001366488356669144,,0.023766273085074174,0.0008134490238611713,0.0013557483731019523,0.0021691973969631237,0.044246719514782,0.16863088348269004,0.29209871983315433,3542.0,0.5361792310021193,0.5019349851588436
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,a150_mu010_g020_c30,5,hot,17059.0,6.745517811765152,0.00039542281562607144,0.0023930399604557857,0.37856849756726657,0.1316607069582039,0.00042686397268070576,0.0008537279453614115,0.001707455890722823,0.07657977027488544,0.2474914032536054,0.38639344652385466,10491.0,0.6149832932762764,0.518710474386625
