regime_id,cycle,response_amplitude,response_loop_cost_positive,response_loop_activation,response_imprint_efficiency,response_hazard_number,response_quality_number,response_overload_asinh,force_p99_hot_minus_cold,activation_eps,imprint_eps,log_activation,log_hazard,buffer_number,log_buffer_number,measured_overload_class,positive_overload,strong_overload
R1,1,2.3902266861705637,0.0,0.0,0.6506860504995883,0.0,650686.0504995883,0.2421261187106412,0.0005047695354128,1e-05,0.6506960504995882,-5.0,-5.0,65068.605049958824,4.813371496433316,mild overload,1,0
R1,2,2.1030869843650186,0.0,0.0,0.2317199832746644,0.0,231719.98327466447,-0.3350363491851241,-0.0007046978643402,1e-05,0.2317299832746644,-5.0,-5.0,23171.998327466437,4.364963488667466,negative/buffered,0,0
R1,3,2.011878391984399,0.0,0.0,0.0833646913321655,0.0,83364.69133216552,-0.3101822083575292,-0.0006506915212809,1e-05,0.08337469133216549,-5.0,-5.0,8336.46913321655,3.9209821470035595,negative/buffered,0,0
R1,4,2.2383680937656925,0.0,0.0,0.0337777333197411,0.0,33777.73331974115,-0.359651378430428,-0.0007586136003771,1e-05,0.0337877333197411,-5.0,-5.0,3377.7733319741096,3.528630503839926,negative/buffered,0,0
R1,5,2.054382032643766,0.0,0.0,0.0546659355072509,0.0,54665.93550725099,-0.294197252711278,-0.0006161717958863,1e-05,0.0546759355072509,-5.0,-5.0,5466.59355072509,3.737716785452551,negative/buffered,0,0
R1,6,2.12585149072208,0.0,0.0,0.0272548004943059,0.0,27254.800494305902,-0.328414686918538,-0.0006902682863565,1e-05,0.0272648004943059,-5.0,-5.0,2725.48004943059,3.4354430089243686,negative/buffered,0,0
R1,7,2.2336755463993354,0.0,0.0,0.0222068770412857,0.0,22206.877041285705,-0.3256337161429634,-0.0006842172023585,1e-05,0.0222168770412857,-5.0,-5.0,2220.6877041285697,3.34648748985581,negative/buffered,0,0
R1,8,2.2179367052338925,0.0,0.0,0.0120244389375879,0.0,12024.438937587976,-0.3357896001024117,-0.0007063412546121,1e-05,0.0120344389375879,-5.0,-5.0,1202.44389375879,3.080064824874329,negative/buffered,0,0
R1,9,2.204354133761785,0.0,0.0,0.0168798456628156,0.0,16879.845662815645,-0.304217505394469,-0.0006377916929588,1e-05,0.016889845662815598,-5.0,-5.0,1687.9845662815596,3.227368474003847,negative/buffered,0,0
R1,10,2.134662057438223,0.0,0.0,0.0456664868525828,0.0,45666.486852582864,-0.2668400270062058,-0.0005574539804687,1e-05,0.045676486852582805,-5.0,-5.0,4566.64868525828,3.659597603334806,negative/buffered,0,0
R1,11,2.0541384129177898,0.0,0.0,0.0286339279638742,0.0,28633.92796387422,-0.2800375987664612,-0.0005857256187369,1e-05,0.0286439279638742,-5.0,-5.0,2863.39279638742,3.4568809295601164,negative/buffered,0,0
R1,12,1.9988967079364193,0.0,0.0,0.0348214541319602,0.0,34821.454131960265,-0.2801304192401384,-0.0005859248128539,1e-05,0.034831454131960204,-5.0,-5.0,3482.14541319602,3.5418469043955474,negative/buffered,0,0
R1,13,1.946525828031413,0.0,0.0,0.0264126527076225,0.0,26412.65270762259,-0.246667529268548,-0.0005144267201171,1e-05,0.0264226527076225,-5.0,-5.0,2641.2652707622497,3.421812022632647,negative/buffered,0,0
R1,14,2.0544189787070612,0.0,0.0,0.0158199534779742,0.0,15819.95347797426,-0.2352770597665993,-0.0004902248256888,1e-05,0.0158299534779742,-5.0,-5.0,1581.9953477974198,3.199205204771062,negative/buffered,0,0
R1,15,2.1383723147715865,0.0,0.0,0.018891825803388,0.0,18891.82580338801,-0.2555534907536216,-0.0005333533463428,1e-05,0.018901825803388,-5.0,-5.0,1889.1825803387999,3.276273934705515,negative/buffered,0,0
R1,16,2.024490099238717,0.0,0.0,0.0181871449671406,0.0,18187.144967140695,-0.2253132845463049,-0.0004691065593819,1e-05,0.0181971449671406,-5.0,-5.0,1818.7144967140598,3.259764530899803,negative/buffered,0,0
R1,17,1.977856629920195,0.0,0.0,0.0315802496724317,0.0,31580.24967243175,-0.2183227635636209,-0.0004543180424088,1e-05,0.0315902496724317,-5.0,-5.0,3158.0249672431696,3.4994155605791737,negative/buffered,0,0
R1,18,2.000230637831677,0.0,0.0,0.0157251263976239,0.0,15725.126397623952,-0.2068875010396656,-0.0004301741639838,1e-05,0.0157351263976239,-5.0,-5.0,1572.51263976239,3.19659414772615,negative/buffered,0,0
R1,19,2.021752278992109,0.0,0.0,0.0208456177464674,0.0,20845.61774646749,-0.1861793521833977,-0.0003865929499929,1e-05,0.020855617746467398,-5.0,-5.0,2084.5617746467397,3.319014771773898,negative/buffered,0,0
R1,20,2.0202334243039255,0.0,0.0,0.0260911143410366,0.0,26091.114341036635,-0.2010408281339137,-0.0004178517037218,1e-05,0.0261011143410366,-5.0,-5.0,2609.11143410366,3.4164926297041265,negative/buffered,0,0
R1,21,2.0022015473692,0.0,0.0,0.0468774901943196,0.0,46877.4901943197,-0.194924183379223,-0.0004049755315519,1e-05,0.046887490194319606,-5.0,-5.0,4687.74901943196,3.670964352572655,negative/buffered,0,0
R1,22,1.969739758506133,0.0,0.0,0.0362601085624517,0.0,36260.108562451765,-0.2059195367504555,-0.0004281330759643,1e-05,0.036270108562451706,-5.0,-5.0,3626.01085624517,3.559429101233082,negative/buffered,0,0
R1,23,2.05381280166485,0.0,0.0,0.0184190148943348,0.0,18419.01489433483,-0.2244390403131624,-0.0004672558476218,1e-05,0.0184290148943348,-5.0,-5.0,1841.90148943348,3.2652664014328585,negative/buffered,0,0
R1,24,1.959696277586361,0.0,0.0,0.0138014946286449,0.0,13801.49462864497,-0.2300964391771919,-0.0004792385359065,1e-05,0.013811494628644899,-5.0,-5.0,1380.1494628644898,3.1399261238830425,negative/buffered,0,0
R1,25,1.9608366403786703,0.0,0.0,0.0230770771317888,0.0,23077.077131788858,-0.2185549459659776,-0.0004548088661554,1e-05,0.0230870771317888,-5.0,-5.0,2307.7077131788797,3.363180803509463,negative/buffered,0,0
R1,26,1.9017050852309283,0.0,0.0,0.0259360434149709,0.0,25936.04341497096,-0.195657704021516,-0.0004065188596127,1e-05,0.0259460434149709,-5.0,-5.0,2593.60434149709,3.413903726155577,negative/buffered,0,0
R1,27,1.93295328390304,0.0,0.0,0.0230504387935478,0.0,23050.43879354783,-0.1902682757759456,-0.0003951845444168,1e-05,0.0230604387935478,-5.0,-5.0,2305.0438793547796,3.362679199019866,negative/buffered,0,0
R1,28,1.9722226002193937,0.0,0.0,0.0234833493412638,0.0,23483.349341263864,-0.1889997675133979,-0.0003925184707181,1e-05,0.0234933493412638,-5.0,-5.0,2348.3349341263797,3.3707600406213656,negative/buffered,0,0
R1,29,1.925604037861408,0.0,0.0,0.0369291797003173,0.0,36929.179700317334,-0.1830801436056962,-0.0003800852461027,1e-05,0.0369391797003173,-5.0,-5.0,3692.9179700317295,3.5673696620470814,negative/buffered,0,0
