packing,tag,hot_bottom_pN,cold_bottom_pN,hot_side_pN,cold_side_pN,Z_cold_N,Gini_cold_N,survival_N,work_total,route
insert_pack,a050_mu010_g002,134.2590336831651,959.9541166760772,3.7763642563086983,8.6349102784142,5.5954900603303335,0.4135549045610853,0.83954781088002,0.0008686213172965,reference matrix
random_data,a050_mu010_g002,127.9331322810828,898.0883404440968,4.234188780580523,13.556196139866977,5.596479082187717,0.4136198881198181,0.8381528106693257,0.0006258572606934,independent packing
random_data,a050_mu060_g002,335.63172367804873,789.2565681003624,45.91358651864189,19.282465891131757,5.427554148946692,0.4465937145977532,0.8574771745937572,0.0007124311518683,independent packing
insert_pack,a100_mu030_g002,84.54844196401513,372.43742476962206,12.588219344775354,6.72900520416363,3.780437147660963,0.4906911069626363,0.5646484439868478,0.0012689929553779,reference matrix
random_data,a100_mu030_g002,229.84036912051565,709.5979734197434,106.8580630610238,18.943034991772024,4.954603896746118,0.4568917897929077,0.7486068314429948,0.0016979082064781,independent packing
random_data,a100_mu060_g000,23055.7667056378,468.7144648529823,2063.2150313556913,8.634379089466744,5.72168924933241,0.4855747498341172,0.9152454946967988,0.0006677806336959,independent packing
random_data,a150_mu010_g002,1409.6674088503885,585.2385802091608,117.19416577993312,175.78504123549857,4.4812580358025915,0.4719911251562258,0.610562418622376,0.00475759928935,independent packing
insert_pack,a150_mu060_g020,1241.4629212716875,160.8475725269276,269.7659914017401,0.6996066536404381,3.575511818811196,0.517320063428158,0.5303473237279878,0.0052099511187638,reference matrix
random_data,a150_mu060_g020,64568.393463811015,182.49194544378705,4999.687222537037,2.9427485284337034,5.693403224211255,0.531424639538349,0.9000409281239178,0.0008778754667517,independent packing
insert_pack,a050_mu060_g002,312.1445707513265,746.5113851889057,43.593218171054254,17.362752451158624,5.206211057264365,0.4373129846164861,0.8193569661995054,0.0005862843806502,reference matrix
insert_pack,a100_mu060_g000,747.9884582657235,236.21082181235408,131.2649779271528,4.411621802704554,4.084075173095945,0.5107903014201369,0.6248184270595559,0.0019916733178596,reference matrix
insert_pack,a150_mu010_g002,202.72584307281505,450.0727585601745,20.947702250688735,24.995507863279105,4.356047868657897,0.4869191128372144,0.630871286422483,0.0041295218135264,reference matrix
