predictor,target,n,spearman_raw,p_raw,spearman_within_route,p_within_route
response_amplitude,response_overload_asinh,87,0.7854669388350222,2.1170690893189144e-19,0.8312495443610118,2.1812084956844578e-23
response_loop_cost_positive,response_overload_asinh,87,0.8147489827161827,7.979315807387948e-22,0.6105108378706385,3.4216135832817047e-10
response_imprint_efficiency,response_overload_asinh,87,0.13014872056572135,0.22955481725939428,-0.6158234307793248,2.1775770194181744e-10
response_loop_activation,response_overload_asinh,87,0.9191922891566322,3.723190909748168e-36,0.9090430600637708,4.58688153487525e-34
response_hazard_number,response_overload_asinh,87,0.9189689606325259,4.166877908029454e-36,0.7509365024222295,5.479490392560587e-17
response_quality_number,response_overload_asinh,87,-0.8919406575781875,4.825712139744448e-31,-0.3075745425384559,0.003755859460360204
response_dissipation_density,response_overload_asinh,87,0.1380039367208573,0.20241326776298357,-0.4547641612597506,9.644150319373197e-06
response_hazard_number,force_p99_hot_minus_cold,87,0.9108546909233248,2.026967541987127e-34,0.6976709547520851,5.975235218497418e-14
