regime_id,step,transient_gain,normalized_transient_gain
R1,1,0.6332879761555276,1.027961236604271
R1,2,0.38570678060685337,1.0162680335075152
R1,3,0.23810238501050626,1.0183339733925523
R1,4,0.14661681798499057,1.017854668039879
R1,5,0.09033441416500719,1.0179599953508274
R1,6,0.055650329430718515,1.0179365629115917
R1,7,0.03428423488914157,1.0179417618131665
R1,8,0.02112119439564147,1.0179406076231077
R1,9,0.013011971018845209,1.017940863786954
R1,10,0.008016181971179835,1.017940806867482
R1,11,0.00493846610086238,1.0179408194107644
R1,12,0.003042401875040074,1.0179408164777835
R1,13,0.001874308542639975,1.0179408168875557
R1,14,0.0011546904895145362,1.017940816404938
R1,15,0.0007113610680759873,1.0179408158763252
R3,1,1.393859096418066,1.4875991503499506
R3,2,1.3579621543923641,1.5467558332259175
R3,3,1.276041057405659,1.5511928427679527
R3,4,1.1958814328748661,1.551516201614008
R3,5,1.1205407583839773,1.5515397194353175
R3,6,1.0499317979571146,1.551541429629384
R3,7,0.9837711349575216,1.5515415539916373
R3,8,0.9217794678912756,1.5515415630348879
R3,9,0.8636941587742999,1.5515415636923335
R3,10,0.8092690557690378,1.551541563739967
R3,11,0.7582735137817862,1.5515415637432441
R3,12,0.7104914213671336,1.5515415637432834
R3,13,0.6657202851759938,1.5515415637430743
R3,14,0.6237703718392883,1.5515415637428316
R3,15,0.5844639039077227,1.551541563742572
R5,1,0.6926874183850321,1.2100723484109144
R5,2,0.4046000663064996,1.234735755422637
R5,3,0.23191814701356564,1.2363938749594738
R5,4,0.13276950584900116,1.2365010482367305
R5,5,0.07600229878075936,1.2365079579000946
R5,6,0.04350636981877999,1.2365084032924878
R5,7,0.02490455693194952,1.2365084319775406
R5,8,0.014256232939840376,1.2365084337824364
R5,9,0.008160762622910402,1.2365084338216306
R5,10,0.004671503816086345,1.2365084336893815
R5,11,0.002674130949761594,1.2365084334454137
R5,12,0.0015307653847666234,1.236508433018387
R5,13,0.0008762632448528955,1.2365084322723483
R5,14,0.0005016034997402216,1.236508430969074
R5,15,0.00028713525579162816,1.236508428692351
R6,1,0.7247604715215745,1.2135789371446852
R6,2,0.4624487189839835,1.2966138118210757
R6,3,0.28057912991016826,1.3172735095521848
R6,4,0.16815728002387145,1.3219340812148177
R6,5,0.10050330022460245,1.3229638576124967
R6,6,0.06003176918401412,1.323190367772355
R6,7,0.035852871750484176,1.3232401418251154
R6,8,0.021411840775707958,1.3232510769330401
R6,9,0.012787370903210934,1.3232534791648431
R6,10,0.007636738227598069,1.3232540068134904
R6,11,0.004560730508935258,1.3232541225941736
R6,12,0.002723710140792846,1.3232541478041502
R6,13,0.0016266246832835488,1.3232541529656259
R6,14,0.000971435180238096,1.323254153468736
R6,15,0.000580149999208958,1.3232541525230572
R6c,1,0.8869387196732684,1.1390496188731476
R6c,2,0.7624675908060264,1.2575331586154435
R6c,3,0.632412112414138,1.3395140234883807
R6c,4,0.5110492367235586,1.390141017485707
R6c,5,0.4063919747925838,1.4196793503410199
R6c,6,0.320176858879942,1.4364288209889715
R6c,7,0.25093502905311516,1.4457875802364468
R6c,8,0.19609569522868808,1.4509761958354386
R6c,9,0.15299442286626352,1.4538408108794174
R6c,10,0.11926079103139614,1.4554187653687016
R6c,11,0.09291966347609491,1.4562868947995289
R6c,12,0.07237705591818372,1.4567641822010438
R6c,13,0.05636766934493264,1.4570264916982578
R6c,14,0.043895905160140795,1.4571706233840853
R6c,15,0.03418208743727106,1.4572498108167729
