relationship,predictor,target,rho_within,p_asymptotic,p_within_regime_permutation,n,null_mean,null_sd,null_q025,null_q975
loop_to_overload,force_h1_birth_force_share_hot_minus_cold,force_p99_hot_minus_cold,0.7919249290035806,1.495239607820495e-20,0.0001999600079984003,90,0.04499067703831748,0.10663979024831421,-0.15877845001440508,0.2545952175165657
positive_cycles_to_overload,cycle_birth_positive_fraction_inhale_delta,force_p99_hot_minus_cold,0.7423817161186848,1.8899425860747343e-16,0.0001999600079984003,87,0.010358675366333744,0.11072465465636047,-0.2057132572719982,0.233272581468251
top5_to_overload,force_share_top5_edges_hot_minus_cold,force_p99_hot_minus_cold,-0.3861793637074536,0.0001703589275351261,0.0003999200159968006,90,0.010956325472280527,0.09977820973925465,-0.18485944766843643,0.2029546857636744
fabric_to_next_cold_fabric,Z_geom_inhale_delta,Z_geom_next_cold_minus_current,0.47576000583217903,3.206956598861361e-06,0.0001999600079984003,87,0.0009728329809725155,0.11718448819568478,-0.23257818765036084,0.23058385579937282
positive_cycles_to_next_cold_loop_memory,cycle_birth_positive_fraction_inhale_delta,force_h1_birth_force_share_next_cold_minus_current,0.5460013122402857,4.50750369927153e-08,0.0001999600079984003,87,0.008892600422832981,0.11457334211493593,-0.21479642050010933,0.22823868192753488
contact_aperture_to_hot_overload,breathing_aperture,force_p99_hot_minus_cold,-0.2672858617131063,0.28360817850986736,0.3015396920615877,18,-0.02171517027863777,0.2498209749762521,-0.49638802889576883,0.4572239422084616
