run,tag,regime_id,cycle,Z_geom_cold,Z_geom_hot,cycle_birth_positive_fraction_cold,cycle_birth_positive_fraction_hot,force_h1_birth_force_share_cold,force_h1_birth_force_share_hot,force_p99_cold,force_p99_hot,force_proxy_gini_cold,force_proxy_gini_hot,force_proxy_q99_q50_cold,force_proxy_q99_q50_hot,force_share_top5_edges_cold,force_share_top5_edges_hot,orientation_entropy_cold,orientation_entropy_hot,force_p99_delta,force_share_top5_edges_delta,force_h1_birth_force_share_delta,Z_geom_delta,orientation_entropy_delta,cycle_birth_positive_fraction_delta,force_proxy_gini_delta,force_proxy_q99_q50_delta,fabric_reservoir,thermal_rewrite,loop_activation,overload_delta
R1_low_expansion_low_friction,a050_mu010_g002,R1,1,3.0821877163485314,2.858470972208486,0.3734248109773173,0.0073327222731439,0.5772652476345654,0.4864989869392386,0.0015791092079688,0.0020838787433817,0.4614889171013114,0.5854417256265685,5.1288849569326525,11.964982952361323,0.1720521500856151,0.2756554538484581,0.937793437653732,0.9254345532627968,0.0005047695354129,0.10360330376284296,-0.09076626069532684,-0.2237167441400456,-0.012358884390935243,-0.36609208870417337,0.12395280852525709,6.836097995428671,1.4036519349454257,-2.5662584198155614,-0.09076626069532684,0.0005047695354129
R1_low_expansion_low_friction,a050_mu010_g002,R1,2,3.8563940263079814,4.606468202947285,0.5737704918032787,0.2767388572695691,0.6383273569603629,0.5576412706859248,0.0013034922195961,0.0005987943552559,0.4164479266583276,0.5548417272225904,4.127421038110549,9.936499856701989,0.155120833567416,0.2703582165826844,0.94809461266456,0.9376086170261864,-0.0007046978643402,0.1152373830152684,-0.08068608627443807,0.7500741766393038,-0.010485995638373602,-0.29703163453370957,0.13839380056426281,5.8090788185914395,2.0923325051057544,-2.1500523542154775,-0.08068608627443807,-0.0007046978643402
R1_low_expansion_low_friction,a050_mu010_g002,R1,3,3.497774700820888,4.854514884778953,0.5005594092638174,0.225562372188139,0.6270775069334835,0.5635984112266039,0.001109159737461,0.00045846821618,0.4209736669615982,0.5906294448692899,4.07552018522009,12.551919732011322,0.1524480692984011,0.2925271500782715,0.9472886567200844,0.9377294126197656,-0.000650691521281,0.1400790807798704,-0.0634790957068796,1.356740183958065,-0.009559244100318831,-0.27499703707567835,0.1696557779076917,8.476399546791232,1.6299485079752587,-1.2946409774864305,-0.0634790957068796,-0.000650691521281
R1_low_expansion_low_friction,a050_mu010_g002,R1,4,3.545445554346751,4.951043418059539,0.5273496852615585,0.204694214876033,0.6328304677853313,0.5641682540628358,0.0010963498276984,0.0003377362273213,0.4157326277681907,0.5836741591010148,4.049473982983189,11.53856834099346,0.1499820214942882,0.2809508352334987,0.9484382464840188,0.935604424954566,-0.0007586136003771,0.1309688137392105,-0.06866221372249548,1.4055978637127882,-0.012833821529452782,-0.32265547038552544,0.16794153133282413,7.489094358010272,1.6502229874217564,-0.9031090958417232,-0.06866221372249548,-0.0007586136003771
R1_low_expansion_low_friction,a050_mu010_g002,R1,5,3.528236574028286,5.031351992879043,0.5166120218579235,0.2122836476362697,0.6300397481750608,0.5790476544170935,0.0010322534378066,0.0004160816419203,0.4139673085262816,0.5836374951876209,3.988884453968974,12.067097100205512,0.1493042743191577,0.2893182447545788,0.946586532193162,0.9349753364045004,-0.0006161717958862999,0.1400139704354211,-0.050992093757967316,1.503115418850757,-0.011611195788661655,-0.3043283742216538,0.16967018666133926,8.078212646236537,1.7814891115049742,-0.8621079858334197,-0.050992093757967316,-0.0006161717958862999
R1_low_expansion_low_friction,a050_mu010_g002,R1,6,3.576896449411532,5.049154386311938,0.5378973105134475,0.2259760241041092,0.6316087001253426,0.5738197637902611,0.0010571411676117,0.0003668728812552,0.4070509925602284,0.5770415520766793,3.860102272338168,11.60504339554742,0.1510553719506481,0.2851480481126416,0.947523728598579,0.935155643670064,-0.0006902682863565001,0.1340926761619935,-0.05778893633508153,1.4722579369004056,-0.012368084928515044,-0.31192128640933825,0.16999055951645087,7.744941123209253,1.7585196920190915,-0.8633749647154763,-0.05778893633508153,-0.0006902682863565001
R1_low_expansion_low_friction,a050_mu010_g002,R1,7,3.579467906240728,5.076055780832756,0.5310770540655598,0.2166030534351145,0.634215708471902,0.5662912672514553,0.00101865551143,0.0003344383090714,0.4106190947675994,0.5989263579695748,3.991397011802992,13.09341031361232,0.148530037170044,0.2861473077551307,0.9467576289207464,0.9344457402429254,-0.0006842172023585999,0.1376172705850867,-0.06792444122044672,1.496587874592028,-0.01231188867782107,-0.31447400063044534,0.18830726320197544,9.102013301809329,1.8824850690842037,-0.8066404178170271,-0.06792444122044672,-0.0006842172023585999
R1_low_expansion_low_friction,a050_mu010_g002,R1,8,3.541489466917219,5.099396696666997,0.525805408899903,0.197290967782771,0.6327066045862979,0.5746267497163013,0.0010721091017926,0.0003657678471804,0.416311130521461,0.5961807932505823,4.090037285572669,12.969973532211991,0.153913747922985,0.2889060770102938,0.9468117618743516,0.9335956174743888,-0.0007063412546122001,0.1349923290873088,-0.05807985486999656,1.5579072297497776,-0.01321614439996277,-0.328514441117132,0.17986966272912125,8.879936246639321,1.8139188623454539,-0.6140026757422381,-0.05807985486999656,-0.0007063412546122001
R1_low_expansion_low_friction,a050_mu010_g002,R1,9,3.5329838789437247,5.116407872613984,0.528178955369747,0.1912578616352201,0.6315107237782389,0.5799838594415937,0.0010428493420751,0.0004050576491163,0.4204306151580176,0.589947526020888,4.164662680643757,12.228158433918386,0.150731821289245,0.2886549550965778,0.947151820248786,0.9334863216324472,-0.0006377916929588,0.1379231338073328,-0.05152686433664522,1.5834239936702597,-0.013665498616338811,-0.33692109373452694,0.16951691086287035,8.06349575327463,1.7507242356565138,-0.5171055651240147,-0.05152686433664522,-0.0006377916929588
R1_low_expansion_low_friction,a050_mu010_g002,R1,10,3.5452477499752746,5.15755118188112,0.5319585402720794,0.2080491132332878,0.6306273598162998,0.5837682810431576,0.0009631427839378,0.000405688803469,0.4135549045610853,0.6008724338279066,3.961150005324601,14.042604926645769,0.1480647656979677,0.2967282812982167,0.9470253809106404,0.9330888479960098,-0.0005574539804688,0.148663515600249,-0.046859078773142215,1.6123034319058451,-0.013936532914630595,-0.32390942703879166,0.18731752926682127,10.081454921321168,1.7624754721070013,-0.5544639699498114,-0.046859078773142215,-0.0005574539804688
