series,lag_cycles,pooled_spearman,route_mean_spearman,route_min_spearman,route_max_spearman
loop activation,1,-0.2215610412548888,-0.015873015873015928,-0.6655719759168035,0.6338259441707716
loop activation,2,0.8401106889920736,0.732905982905983,0.6654456654456654,0.8003663003663004
loop activation,3,-0.3437245581322058,-0.16786324786324783,-0.7873504273504273,0.4516239316239316
loop activation,4,0.7621861152141803,0.62,0.5861538461538462,0.6538461538461537
loop activation,5,-0.3763523440630427,-0.1547826086956522,-0.6617391304347826,0.3521739130434782
loop activation,6,0.7426967144699902,0.6254940711462451,0.5958498023715416,0.6551383399209486
loop activation,7,-0.3492435080417912,-0.13664596273291926,-0.6578204404291361,0.3845285149632976
loop activation,8,0.6670322001794438,0.5571428571428572,0.5376623376623377,0.5766233766233767
overload,1,-0.1346562721474132,0.23116219667943802,-0.8128078817733991,0.7728516694033934
overload,2,0.8371725383920504,0.8038258038258038,0.7161172161172161,0.9230769230769231
overload,3,-0.2391406062292138,0.1783475783475783,-0.8105982905982906,0.7675213675213675
overload,4,0.7639829302987198,0.7033333333333335,0.5884615384615385,0.8653846153846154
overload,5,-0.26567624927648087,0.20376811594202895,-0.6426086956521738,0.7399999999999999
overload,6,0.6677749360613812,0.6508563899868248,0.5227272727272728,0.7944664031620554
overload,7,-0.32570712869220336,0.22115565593826467,-0.5821569734613213,0.7199322416713722
overload,8,0.5825652841781875,0.5883116883116883,0.5181818181818182,0.6974025974025975
hazard,1,0.23357294725118966,0.19850392264185365,-0.645320197044335,0.8111658456486042
hazard,2,0.6909891598915989,0.4953194953194953,0.013431013431013432,0.8083028083028083
hazard,3,0.00901630015554066,-0.07190883190883195,-0.7736752136752136,0.7565811965811965
hazard,4,0.5933428165007113,0.411025641025641,-0.1276923076923077,0.7999999999999999
hazard,5,-0.03482539070036659,-0.00840579710144925,-0.6765217391304347,0.7217391304347825
hazard,6,0.4689806357325539,0.34321475625823455,-0.24901185770750991,0.7618577075098815
hazard,7,-0.12251330758793448,-0.00809335591944286,-0.665725578769057,0.6758893280632412
hazard,8,0.42218701996927804,0.41731601731601736,0.1012987012987013,0.6207792207792208
