predictor,lag_cycles,bins,bootstrap_q025_corrected_mi_bits,bootstrap_median_corrected_mi_bits,bootstrap_q975_corrected_mi_bits
Psi,0,2,0.23041150760419238,0.4117081593825196,0.6248583309140034
Psi,0,3,0.40706674194413445,0.5796590874345375,0.7737780609088316
Psi,0,4,0.552405584884475,0.7287684007505109,0.9292005181888868
Psi,0,5,0.6049091163380116,0.7910920752480999,0.9884387416514537
Psi,2,2,0.22910088757061475,0.3870233662477673,0.6074638181892192
Psi,2,3,0.3453260344456609,0.4841035855776276,0.6528310122204793
Psi,2,4,0.4483242228701795,0.6321731122570506,0.8238884584545836
Psi,2,5,0.49039617124989104,0.6472637046485018,0.8295121156025987
Psi,4,2,0.11972625919253074,0.2808802291262669,0.4328094092322184
Psi,4,3,0.1883731293770778,0.33081396619896314,0.5014615042871581
Psi,4,4,0.24538777565090106,0.41466821543021837,0.5861696384939423
Psi,4,5,0.27525897857207104,0.43399712147249997,0.629744413117289
Psi,6,2,0.061572922596663186,0.14322801470998547,0.2925536638202254
Psi,6,3,0.11196910010016209,0.24610578876520206,0.4293322696110024
Psi,6,4,0.1408252471431277,0.30667260978938515,0.49496840597951003
Psi,6,5,0.17617066737490583,0.3380366161601629,0.5294233032472516
loop activation,0,2,0.23041150760419238,0.4117081593825196,0.6248583309140034
loop activation,0,3,0.39937755592991103,0.5800239928455495,0.776362639942084
loop activation,0,4,0.5440241025348959,0.7234595193879787,0.9290262905835324
loop activation,0,5,0.6146681345273941,0.794767122265307,0.989427995337948
loop activation,2,2,0.22910088757061475,0.3870233662477673,0.6074638181892192
loop activation,2,3,0.3491141109750936,0.47815883677472865,0.6455602843399932
loop activation,2,4,0.4481159171809015,0.6305789211281054,0.8195328310631915
loop activation,2,5,0.47907891704287936,0.6436222839364305,0.8319076576656331
loop activation,4,2,0.13025476047720508,0.2808802291262669,0.4328094092322184
loop activation,4,3,0.1805026892601384,0.33087723951336484,0.48809994569170057
loop activation,4,4,0.24485269022875278,0.4094001212273083,0.5866706740792198
loop activation,4,5,0.2675850793103343,0.42832616721051386,0.6187281104568996
loop activation,6,2,0.061572922596663186,0.14322801470998547,0.2925536638202254
loop activation,6,3,0.10598426784876877,0.2453833306414247,0.4133251455840547
loop activation,6,4,0.14877490845515065,0.3126232520415108,0.4849417600270688
loop activation,6,5,0.16736965621633293,0.32533208006087744,0.5268504428902787
top-5% tail,0,2,-0.01544485884083762,5.204170427930421e-18,0.0533710744149784
top-5% tail,0,3,-0.004196503420659009,0.0785079637743516,0.20447723994849126
top-5% tail,0,4,0.05083032771234708,0.2093430238474788,0.40606319833256654
top-5% tail,0,5,0.13826374590210705,0.31371906545909006,0.4466605681138964
top-5% tail,2,2,-0.02071491990866062,7.632783294297951e-17,0.05116955639841884
top-5% tail,2,3,-0.0365436919155195,0.018017164848159968,0.11121288628990131
top-5% tail,2,4,-0.04398400096179364,0.054912748279191806,0.19779557466887868
top-5% tail,2,5,0.009806507225461157,0.14233636408558595,0.30155369163497064
top-5% tail,4,2,-0.012336771098144258,0.024889479907362518,0.09563444441074702
top-5% tail,4,3,-0.04174072425323518,0.002965943643437559,0.07999810886638875
top-5% tail,4,4,-0.04267289192747248,0.031246040628337107,0.15280241253564364
top-5% tail,4,5,-0.06037922094882621,0.04594400975499485,0.20597497015953203
top-5% tail,6,2,-0.016922875330483818,0.019506486335674998,0.0985778574204601
top-5% tail,6,3,-0.020464503737059526,0.05798840887478644,0.1746197780941852
top-5% tail,6,4,-0.010755263305016687,0.08525536059851875,0.22936077293748747
top-5% tail,6,5,0.006427602818720324,0.12352435885820442,0.2800512570285583
cold loop memory,0,2,-0.006164650036340921,-0.003084525377128617,0.022756512149839363
cold loop memory,0,3,-0.0122144918861424,0.035309319861991185,0.1145046418625363
cold loop memory,0,4,-0.04022673833837121,0.021228670648202864,0.12134078759306975
cold loop memory,0,5,-0.048432620431752754,0.03951429838542907,0.1669134037640275
cold loop memory,2,2,-0.0094422995924737,-0.004136094953779538,0.038795024772695225
cold loop memory,2,3,-0.015783310299163477,0.01637254661526446,0.08850566432294892
cold loop memory,2,4,-0.03623673210619626,0.027537067376478284,0.13151231396755705
cold loop memory,2,5,-0.03706416010207784,0.04982549418657767,0.16997393220130155
cold loop memory,4,2,-0.013703175493155232,5.0306980803327406e-17,0.06278719563579534
cold loop memory,4,3,-0.0176072596583437,0.015646850955822297,0.09545153923817443
cold loop memory,4,4,-0.029186742487174785,0.04112577035713143,0.1443558293478649
cold loop memory,4,5,-0.025028026627651398,0.07744583112254179,0.20365810260680514
cold loop memory,6,2,-0.012060579891453432,0.026775504056708498,0.1058468751414936
cold loop memory,6,3,-0.027474639962328556,0.013608019769956323,0.1009943048086475
cold loop memory,6,4,-0.01980701323004715,0.06413043143196553,0.18549558438209912
cold loop memory,6,5,-0.022649734971967282,0.0855998866695139,0.23369315942398738
