tag,regime_id,alpha_mult_mean,alpha_mult_std,alpha_mult_min,alpha_mult_max,friction_mean,friction_std,friction_min,friction_max,lid_gap_radii_mean,lid_gap_radii_std,lid_gap_radii_min,lid_gap_radii_max,overload_number_mean,overload_number_std,overload_number_min,overload_number_max,force_p99_hot_minus_cold_mean,force_p99_hot_minus_cold_std,force_p99_hot_minus_cold_min,force_p99_hot_minus_cold_max,loop_activation_mean,loop_activation_std,loop_activation_min,loop_activation_max,top5_activation_mean,top5_activation_std,top5_activation_min,top5_activation_max,dimensionless_loop_number_mean,dimensionless_loop_number_std,dimensionless_loop_number_min,dimensionless_loop_number_max,dimensionless_top5_number_mean,dimensionless_top5_number_std,dimensionless_top5_number_min,dimensionless_top5_number_max
a050_mu010_g002,R1,0.5,0.0,0.5,0.5,0.1,0.0,0.1,0.1,0.02,0.0,0.02,0.02,-0.4718409040943615,0.21342348149382642,-0.7366626322448795,0.4901637071222786,-0.00048590075211147997,0.00021978304397992957,-0.0007586136003771,0.0005047695354128,-0.049821956481719575,0.012870367502021599,-0.0907662606953267,-0.0359475690946978,0.1615804158572491,0.02557218881615023,0.103603303762843,0.2012075952704471,-0.002442252768711744,0.0006309003677461569,-0.004449326504672877,-0.0017621357399361666,0.007920608620453387,0.001253538667458344,0.00507859332170799,0.009863117415217995
a100_mu030_g002,R3,1.0,0.0,1.0,1.0,0.3,0.0,0.3,0.3,0.02,0.0,0.02,0.02,0.7803749420168624,0.7724007653305281,-0.15126545293858557,1.9149106640929165,0.0007070721021894365,0.0006998469626196494,-0.0001370566583308,0.0017350376541638,0.04637633219426918,0.04396748041708349,-0.0969079451876823,0.097505407406514,0.1171195368416893,0.028696448774071858,0.0711483764482968,0.1785471924254418,0.01364009770419682,0.012931611887377494,-0.028502336819906552,0.02867806100191588,0.034446922600496845,0.008440131992374074,0.02092599307302847,0.052513880125129926
a150_mu030_g002,R5,1.5,0.0,1.5,1.5,0.3,0.0,0.3,0.3,0.02,0.0,0.02,0.02,2.4852833397837997,3.596524650396127,-0.17768415124599818,19.53900651575294,0.002869255624067662,0.004152181932360587,-0.0002051360672279,0.0225577516400588,0.0800190051933482,0.039541525390634824,0.0029537706951978,0.1904286214204259,0.07473126952644774,0.03925308322210459,-0.0377857638014714,0.1487704448479711,0.03530250229118302,0.017444790613515358,0.0013031341302343234,0.08401262709724672,0.03296967773225635,0.017317536715634376,-0.01667018991241385,0.0656340197858696
a150_mu060_g000,R6c,1.5,0.0,1.5,1.5,0.6,0.0,0.6,0.6,0.0,0.0,0.0,0.0,8.186008690977685,9.330988641504671,3.2005218303594845,48.61223395953652,0.010607241611929672,0.012090880273276424,0.0041471625086711,0.0629906136641142,0.12464577540098215,0.0326620099334101,0.0819336904276699,0.2131255986040165,0.04001406595950565,0.034782970687399356,-0.0562177195811912,0.0755168773874797,0.11218119786088393,0.029395808940069094,0.0737403213849029,0.19181303874361483,0.036012659363555084,0.03130467361865942,-0.050595947623072075,0.06796518964873172
a150_mu060_g020,R6,1.5,0.0,1.5,1.5,0.6,0.0,0.6,0.6,0.2,0.0,0.2,0.2,4.4390030386353825,5.949977701898671,0.641064490786871,30.04719545167167,0.005318642490046497,0.00712903414228702,0.0007680987847684,0.0360013924399387,0.07956762897549949,0.040288275360706755,0.0303059962986566,0.1991523701760487,0.07209903262516597,0.04529949441318277,-0.051089411095692,0.1560553119413653,0.059675721731624616,0.030216206520530076,0.02272949722399245,0.14936427763203652,0.05407427446887447,0.03397462080988707,-0.038317058321769,0.11704148395602397
