regime_id,mode_rank,eigenvalue_real,eigenvalue_imag,eigenvalue_abs,dominant
R1,1,0.6160621175234969,0.0,0.6160621175234969,True
R1,2,-0.13675226022000475,0.0,0.13675226022000475,False
R3,1,-0.9369856766109874,0.0,0.9369856766109874,True
R3,2,-0.0681359440123559,0.0,0.0681359440123559,False
R5,1,0.572434713753661,0.0,0.572434713753661,True
R5,2,0.03689955218698482,0.0,0.03689955218698482,False
R6,1,0.5972091714327056,0.0,0.5972091714327056,True
R6,2,0.13119616533647138,0.0,0.13119616533647138,False
R6c,1,0.7786655690641209,0.0,0.7786655690641209,True
R6c,2,0.4277485679283657,0.0,0.4277485679283657,False
