run,tag,regime_id,cycle,force_p99_cold,force_p99_hot,force_p99_hot_minus_cold,force_share_top5_edges_cold,force_share_top5_edges_hot,force_share_top5_edges_hot_minus_cold,giant_fraction_after_top5_edges_cold,giant_fraction_after_top5_edges_hot,giant_fraction_after_top5_edges_hot_minus_cold,force_h1_birth_fraction_cold,force_h1_birth_fraction_hot,force_h1_birth_fraction_hot_minus_cold,force_h1_birth_force_share_cold,force_h1_birth_force_share_hot,force_h1_birth_force_share_hot_minus_cold,bottom_side_percolation_edge_fraction_cold,bottom_side_percolation_edge_fraction_hot,bottom_side_percolation_edge_fraction_hot_minus_cold,alpha_mult,friction,lid_gap_radii,hot_susceptibility_index,cold_memory_index,loss_index,overload_number,loop_activation,top5_activation,giant_activation,frictional_expansion,boundary_attenuation,dimensionless_loop_number,dimensionless_top5_number,loop_number_no_boundary,loop_number_no_friction,loop_number_friction_only,overload_positive,next_force_h1_birth_force_share_cold,force_h1_birth_force_share_cold_wz,next_force_h1_birth_force_share_cold_wz,next_dimensionless_loop_number,dimensionless_loop_number_wz,next_dimensionless_loop_number_wz,next_overload_number,overload_number_wz,next_overload_number_wz,next_force_p99_cold,force_p99_cold_wz,next_force_p99_cold_wz,next_force_h1_birth_fraction_cold,force_h1_birth_fraction_cold_wz,next_force_h1_birth_fraction_cold_wz,memory_coordinate,hot_excitation_coordinate,next_memory_coordinate,next_hot_excitation_coordinate,dM,dPsi,radial_before,radial_after,radial_contraction,phase_speed,signed_circulation,absolute_circulation,tangential_fraction,overload_number_within_route,dimensionless_loop_number_within_route,overload_number_within_route_asinh
R1_low_expansion_low_friction,a050_mu010_g002,R1,1,0.0015791092079688,0.0020838787433817,0.0005047695354128,0.1720521500856151,0.2756554538484581,0.103603303762843,0.0030160857908847,0.001038637307852,-0.0019774484830326,0.6612051374384827,0.5014496755488057,-0.159755461889677,0.5772652476345654,0.4864989869392386,-0.0907662606953267,0.0125435121834113,0.5359657600441806,0.5234222478607693,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,0.4901637071222786,-0.0907662606953267,0.103603303762843,-0.0019774484830326,0.05,0.9803921568627452,-0.0044493265046728,0.0050785933217079,-0.0045383130347663,-0.0453831303476633,-0.0090766260695326,True,0.6383273569603629,-5.1858429912322945,0.8863418927291516,-0.0039552003075704,-3.1812847773907964,-2.398076806110599,-0.684306982400717,4.50749188647486,-0.995514068176708,0.0013034922195961,4.571610057721639,2.1572530384198543,0.7261089840275361,-5.209404584907822,0.590820525625134,-5.1858429912322945,-3.1812847773907964,0.8863418927291516,-2.398076806110599,6.072184883961446,0.7832079712801976,6.083875439600281,2.5566333954660583,3.527242044134223,6.122486748967835,7.627877884154185,7.627877884154185,0.20478378422142107,0.96200461121664,-0.00200707373596111,0.4641555451085811
R1_low_expansion_low_friction,a050_mu010_g002,R1,2,0.0013034922195961,0.0005987943552559,-0.0007046978643402,0.155120833567416,0.2703582165826844,0.1152373830152684,0.0037133819282079,0.0052930544797314,0.0015796725515235,0.7261089840275361,0.6691746159702628,-0.0569343680572732,0.6383273569603629,0.5576412706859248,-0.080686086274438,0.0025138260432378,0.0048367593712212,0.0023229333279834,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.684306982400717,-0.080686086274438,0.1152373830152684,0.0015796725515235,0.05,0.9803921568627452,-0.0039552003075704,0.0056488913242778,-0.0040343043137219,-0.040343043137219,-0.0080686086274438,False,0.6270775069334835,0.8863418927291516,-0.2323742805948882,-0.0031117203777882,-2.398076806110599,-1.06113047844326,-0.6318633473061083,-0.995514068176708,-0.7497883648588859,0.001109159737461,2.1572530384198543,0.4549341970037246,0.7144235186035829,0.590820525625134,-0.4534678107723194,0.8863418927291516,-2.398076806110599,-0.2323742805948882,-1.06113047844326,-1.1187161733240398,1.3369463276673388,2.5566333954660583,1.0862760692214544,1.470357326244604,1.7432588331971721,-0.7488878846636134,0.7488878846636134,0.1680298627892276,-0.2124660783063555,-0.0015129475388587104,-0.10603423237800255
R1_low_expansion_low_friction,a050_mu010_g002,R1,3,0.001109159737461,0.00045846821618,-0.0006506915212809,0.1524480692984011,0.2925271500782715,0.1400790807798703,0.0027825011593754,0.0153374233128834,0.0125549221535079,0.7144235186035829,0.6687380709308003,-0.0456854476727826,0.6270775069334835,0.5635984112266039,-0.0634790957068796,0.0024804777216352,0.0018642638377202,-0.000616213883915,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.6318633473061083,-0.0634790957068796,0.1400790807798703,0.0125549221535079,0.05,0.9803921568627452,-0.0031117203777882,0.0068666216068563,-0.0031739547853439,-0.0317395478534398,-0.0063479095706879,False,0.6328304677853313,-0.2323742805948882,0.3397160436391827,-0.0033657947903184,-1.06113047844326,-1.4638476514223482,-0.7366626322448795,-0.7497883648588859,-1.240827514840153,0.0010963498276984,0.4549341970037246,0.3427216090404087,0.7211499708924813,-0.4534678107723194,0.1476512217851582,-0.2323742805948882,-1.06113047844326,0.3397160436391827,-1.4638476514223482,0.5720903242340709,-0.40271717297908816,1.0862760692214544,1.5027497918418034,-0.416473722620349,0.6996202259043925,0.3503217964107411,0.3503217964107411,0.4609614326887342,-0.1600224432117468,-0.0006694676090765101,-0.07992609735769185
R1_low_expansion_low_friction,a050_mu010_g002,R1,4,0.0010963498276984,0.0003377362273213,-0.0007586136003771,0.1499820214942882,0.2809508352334987,0.1309688137392105,0.0024957104975822,0.0242904290429042,0.021794718545322,0.7211499708924813,0.6586353030808056,-0.0625146678116757,0.6328304677853313,0.5641682540628358,-0.0686622137224954,0.0005821503739196,0.0043331269939526,0.003750976620033,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.7366626322448795,-0.0686622137224954,0.1309688137392105,0.021794718545322,0.05,0.9803921568627452,-0.0033657947903184,0.0064200398891769,-0.0034331106861247,-0.0343311068612477,-0.0068662213722495,False,0.6300397481750608,0.3397160436391827,0.0621991740131326,-0.002499612439116,-1.4638476514223482,-0.0909171611505362,-0.5983424721716318,-1.240827514840153,-0.5927256325866356,0.0010322534378066,0.3427216090404087,-0.2187516505030503,0.7187371122210512,0.1476512217851582,-0.0679773455447289,0.3397160436391827,-1.4638476514223482,0.0621991740131326,-0.0909171611505362,-0.27751686962605004,1.372930490271812,1.5027497918418034,0.11015746656304565,1.3925923252787578,1.4006975919323343,0.030082048257283972,0.030082048257283972,0.014291451674640625,-0.264821728150518,-0.0009235420216067102,-0.13202696665834093
R1_low_expansion_low_friction,a050_mu010_g002,R1,5,0.0010322534378066,0.0004160816419203,-0.0006161717958863,0.1493042743191577,0.2893182447545788,0.140013970435421,0.0037819098644815,0.0458858702716755,0.0421039604071939,0.7187371122210512,0.6710007173601148,-0.0477363948609363,0.6300397481750608,0.5790476544170935,-0.0509920937579673,0.0017412821335288,0.0009863701578192,-0.0007549119757096,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.5983424721716318,-0.0509920937579673,0.140013970435421,0.0421039604071939,0.05,0.9803921568627452,-0.002499612439116,0.0068634299233049,-0.0025496046878983,-0.0254960468789836,-0.0050992093757967,False,0.6316087001253426,0.0621991740131326,0.218220091425795,-0.0028327909968177,-0.0909171611505362,-0.6190172776427071,-0.6702949334546247,-0.5927256325866356,-0.9298603320085178,0.0010571411676117,-0.2187516505030503,-0.0007394535619217,0.7212583751164752,-0.0679773455447289,0.1573389203599126,0.0621991740131326,-0.0909171611505362,0.218220091425795,-0.6190172776427071,0.15602091741266239,-0.5281001164921709,0.11015746656304565,0.6563553902590201,-0.5461979236959744,0.5506652882734968,-0.009331206075395304,0.009331206075395304,0.15382826446579742,-0.12650156807727037,-5.735967040431007e-05,-0.06320868561970244
R1_low_expansion_low_friction,a050_mu010_g002,R1,6,0.0010571411676117,0.0003668728812552,-0.0006902682863565,0.1510553719506481,0.2851480481126416,0.1340926761619935,0.002475630512146,0.0378969842540699,0.0354213537419238,0.7212583751164752,0.6625113870642949,-0.0587469880521802,0.6316087001253426,0.5738197637902611,-0.0577889363350815,0.0001331144340417,0.0013424749484585,0.0012093605144167,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.6702949334546247,-0.0577889363350815,0.1340926761619935,0.0354213537419238,0.05,0.9803921568627452,-0.0028327909968177,0.0065731704000977,-0.002889446816754,-0.0288944681675407,-0.0057788936335081,False,0.634215708471902,0.218220091425795,0.4774682053400503,-0.0033296294715905,-0.6190172776427071,-1.4065243075525418,-0.6644189414295862,-0.9298603320085178,-0.9023282536078177,0.00101865551143,-0.0007394535619217,-0.3378671273433192,0.7233850187604539,0.1573389203599126,0.3473894722642003,0.218220091425795,-0.6190172776427071,0.4774682053400503,-1.4065243075525418,0.2592481139142553,-0.7875070299098347,0.6563553902590201,1.4853573694053581,-0.829001979146338,0.829081966228616,-0.0056853971780858326,0.0056853971780858326,0.01044778639128302,-0.19845402936026318,-0.00039053822810600995,-0.09906490039932675
R1_low_expansion_low_friction,a050_mu010_g002,R1,7,0.00101865551143,0.0003344383090714,-0.0006842172023585,0.148530037170044,0.2861473077551307,0.1376172705850867,0.0022158911047799,0.0283282351376512,0.0261123440328712,0.7233850187604539,0.6546660117878192,-0.0687190069726346,0.634215708471902,0.5662912672514553,-0.0679244412204467,0.0010849419104018,0.0022102161100196,0.0011252741996177,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.6644189414295862,-0.0679244412204467,0.1376172705850867,0.0261123440328712,0.05,0.9803921568627452,-0.0033296294715905,0.0067459446365238,-0.0033962220610223,-0.0339622206102233,-0.0067924441220446,False,0.6327066045862979,0.4774682053400503,0.3273987448567831,-0.0028470517093135,-1.4065243075525418,-0.6416210249613928,-0.6859028201274618,-0.9023282536078177,-1.0029913978293548,0.0010721091017926,-0.3378671273433192,0.1303770540505769,0.7233482142857143,0.3473894722642003,0.3441003877217007,0.4774682053400503,-1.4065243075525418,0.3273987448567831,-0.6416210249613928,-0.1500694604832672,0.7649032825911489,1.4853573694053581,0.7203245642113736,0.7650328051939845,0.7794856475192176,0.07707032680324916,0.07707032680324916,0.06656533503658289,-0.19257803733522477,-0.0008873767028788099,-0.09614084424200398
R1_low_expansion_low_friction,a050_mu010_g002,R1,8,0.0010721091017926,0.0003657678471804,-0.0007063412546121,0.153913747922985,0.2889060770102938,0.1349923290873088,0.0025086233929131,0.0366016564253272,0.0340930330324141,0.7233482142857143,0.6572028928850665,-0.0661453214006477,0.6327066045862979,0.5746267497163013,-0.0580798548699965,0.00375,0.001759186864738,-0.0019908131352619,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.6859028201274618,-0.0580798548699965,0.1349923290873088,0.0340930330324141,0.05,0.9803921568627452,-0.0028470517093135,0.0066172710336916,-0.0029039927434998,-0.0290399274349982,-0.0058079854869996,False,0.6315107237782389,0.3273987448567831,0.2084770527322772,-0.0025258266831688,-0.6416210249613928,-0.1324676901927811,-0.6193367837399641,-1.0029913978293548,-0.6910949002107306,0.0010428493420751,0.1303770540505769,-0.1259333667044131,0.7216979002032061,0.3441003877217007,0.1966177085788532,0.3273987448567831,-0.6416210249613928,0.2084770527322772,-0.1324676901927811,-0.1189216921245059,0.5091533347686117,0.7203245642113736,0.2470027741968647,0.4733217900145089,0.5228570427600203,0.04519675237591016,0.04519675237591016,0.12000408839570549,-0.21406191603310037,-0.00040479894060181003,-0.10682765322152213
R1_low_expansion_low_friction,a050_mu010_g002,R1,9,0.0010428493420751,0.0004050576491163,-0.0006377916929588,0.150731821289245,0.2886549550965778,0.1379231338073328,0.0020478890989287,0.0379713572460911,0.0359234681471623,0.7216979002032061,0.6618588983251886,-0.0598390018780174,0.6315107237782389,0.5799838594415937,-0.0515268643366452,0.0024836306163919,0.0007116762347582,-0.0017719543816336,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.6193367837399641,-0.0515268643366452,0.1379231338073328,0.0359234681471623,0.05,0.9803921568627452,-0.0025258266831688,0.0067609379317319,-0.0025763432168322,-0.0257634321683226,-0.0051526864336645,False,0.6306273598162998,0.2084770527322772,0.1206328993620824,-0.0022970136653501,-0.1324676901927811,0.2302092545617701,-0.5413236941749067,-0.6910949002107306,-0.3255630055053482,0.0009631427839378,-0.1259333667044131,-0.8241489928869002,0.7212585347850157,0.1966177085788532,0.1573531893674775,0.2084770527322772,-0.1324676901927811,0.1206328993620824,0.2302092545617701,-0.08784415337019481,0.3626769447545512,0.2470027741968647,0.25990112984438557,-0.01289835564752087,0.373163719482243,0.03198665422124282,0.03198665422124282,0.3470304403581013,-0.14749587964560268,-8.357391445710984e-05,-0.07368125336475191
R1_low_expansion_low_friction,a050_mu010_g002,R1,10,0.0009631427839378,0.000405688803469,-0.0005574539804687,0.1480647656979677,0.2967282812982167,0.148663515600249,0.0024170157911698,0.0482243480539903,0.0458073322628204,0.7212585347850157,0.6655975456700599,-0.0556609891149557,0.6306273598162998,0.5837682810431576,-0.0468590787731422,0.0025373685181767,0.0004183516943243,-0.0021190168238524,0.5,0.1,0.02,-0.723825496862676,1.6045802365329438,-1.2986079178795071,-0.5413236941749067,-0.0468590787731422,0.148663515600249,0.0458073322628204,0.05,0.9803921568627452,-0.0022970136653501,0.0072874272353063,-0.0023429539386571,-0.0234295393865711,-0.0046859078773142,False,0.633891624435229,0.1206328993620824,0.4452403931935751,-0.0022310863071236,0.2302092545617701,0.3347065121272083,-0.5687772745670517,-0.3255630055053482,-0.4541973066609088,0.0010214015982495,-0.8241489928869002,-0.3138118830442754,0.7232219754317574,0.1573531893674775,0.3328188719236949,0.1206328993620824,0.2302092545617701,0.4452403931935751,0.3347065121272083,0.32460749383149273,0.1044972575654382,0.25990112984438557,0.5570165679686112,-0.29711543812422564,0.3410127591311799,-0.031060921012303608,0.031060921012303608,0.3504576408443285,-0.0694827900805452,0.00014523910336158982,-0.034734410228044986
