run,tag,regime_id,cycle,force_p99_cold,force_p99_hot,force_p99_delta,loop_edge_fraction_cold,loop_edge_fraction_hot,loop_edge_fraction_delta,loop_force_share_cold,loop_force_share_hot,loop_force_share_delta,loop_boundary_force_share_cold,loop_boundary_force_share_hot,loop_boundary_force_share_delta,loop_bottom_force_share_cold,loop_bottom_force_share_hot,loop_bottom_force_share_delta,loop_side_force_share_cold,loop_side_force_share_hot,loop_side_force_share_delta,loop_conduit_force_share_cold,loop_conduit_force_share_hot,loop_conduit_force_share_delta,loop_force_weighted_z_cold,loop_force_weighted_z_hot,loop_force_weighted_z_delta,loop_force_weighted_r_cold,loop_force_weighted_r_hot,loop_force_weighted_r_delta,loop_z_entropy_cold,loop_z_entropy_hot,loop_z_entropy_delta,loop_r_entropy_cold,loop_r_entropy_hot,loop_r_entropy_delta,top5_force_share_cold,top5_force_share_hot,top5_force_share_delta,overload_asinh,loop_activation,force_p99_hot_minus_cold,dataset
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,1,0.0018742449816674827,0.003468667964434377,0.0015944229827668942,0.6393324181778773,0.5479745769201317,-0.0913578412577456,0.5652004030026883,0.5017657880794838,-0.06343461492320446,0.25790713422967,0.24821829882652313,-0.009688835403146856,0.20035340971671092,0.18320501318193994,-0.017148396534770988,0.13791609041871428,0.13194639723678653,-0.005969693181927749,0.27166802730773737,0.1091245504264154,-0.16254347688132198,0.20736794603032188,0.255506351297955,0.04813840526763313,0.6839103417266512,0.7061906197013708,0.022280277974719542,0.7013537290647079,0.8134956325406297,0.11214190347592179,0.8960265966082774,0.8673249107952828,-0.028701685812994593,0.15379688487735482,0.27268644300321415,0.11888955812585933,0.509184691749464,-0.0634346149232024,0.0015944229827668,new-route extension
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,2,0.0012362475267493475,0.0024080337057280003,0.0011717861789786528,0.4968421052631579,0.5041291753975101,0.007287070134352203,0.4891596710408466,0.48613199312203287,-0.0030276779188137537,0.29105851329815613,0.20981310235161788,-0.08124541094653825,0.2318875220510405,0.04005042071617265,-0.19183710133486784,0.12378162645696125,0.07116776455032817,-0.052613861906633086,0.025302387620658097,0.008198774430343976,-0.017103613190314122,0.3360609470080335,0.6775315920024942,0.3414706449944607,0.6867615362993155,0.5499328465123388,-0.1368286897869767,0.778846769482056,0.8828193312326926,0.10397256175063663,0.8892037293323012,0.9706774392108543,0.08147370987855307,0.20874508053890448,0.41367574941571894,0.20493066887681446,0.38128926831934434,-0.0030276779188118,0.0011717861789786,new-route extension
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,3,0.00127889406947513,0.0020836508873062327,0.0008047568178311028,0.5033094318808604,0.6586829089576846,0.15537347707682414,0.49213592497424197,0.5493988743426026,0.05726294936836063,0.2710208546675124,0.1923401535583378,-0.0786807011091746,0.2368794809056629,0.09156172508271761,-0.14531775582294532,0.12038706906325736,0.13434418874458945,0.013957119681332092,0.034523793246481506,0.21588845276018567,0.18136465951370417,0.20861805919986096,0.4171308854588315,0.20851282625897052,0.6871825376615457,0.6953271380512076,0.008144600389661916,0.6950650336568911,0.960678777077124,0.2656137434202329,0.8894252237225833,0.8804188083793141,-0.00900641534326918,0.19042363446450083,0.22537174261901888,0.03494810815451804,0.26513498963932025,0.0572629493683582,0.0008047568178311,new-route extension
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,4,0.0013033473590852757,0.001845292698666257,0.0005419453395809812,0.4997455470737914,0.5000786039930829,0.00033305691929153003,0.48923806039354545,0.4860017770423932,-0.003236283351152225,0.2893944849475018,0.21196521826749515,-0.07742926668000666,0.2227239869855196,0.06007840245205409,-0.1626455845334655,0.10107935077747464,0.09032830694240923,-0.010751043835065408,0.021108293453018442,0.009538879092278362,-0.01156941436074008,0.36698523608965244,0.6074194059732115,0.2404341698835591,0.6583877192913768,0.6075248233731493,-0.05086289591822757,0.7638220778572461,0.9404238904860143,0.17660181262876817,0.9175817441313917,0.948781845650132,0.03120010151874031,0.20964481881166408,0.3879350148176882,0.17829019600602414,0.1796800584768238,-0.0032362833511526,0.0005419453395809,new-route extension
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,5,0.001366488356669144,0.0023930399604557857,0.0010265516037866417,0.5361792310021193,0.6149832932762764,0.07880406227415715,0.5019349851588437,0.5187104743866239,0.01677548922778016,0.2707754231641841,0.15740616418274314,-0.11336925898144098,0.2238225739105904,0.060860018818135415,-0.162962555092455,0.14215386925942536,0.1296985619804406,-0.01245530727898475,0.10080916510810556,0.11329659630184924,0.012487431193743681,0.1891941032570317,0.43939522920168617,0.2502011259446545,0.6953542786065234,0.6971320718097648,0.0017777932032413402,0.6761699333322074,0.9408389607405134,0.264669027408306,0.8831007537058277,0.8772689078554541,-0.0058318458503736625,0.16863088348269006,0.24749140325360577,0.07886051977091571,0.33583528918585004,0.0167754892277813,0.0010265516037866,new-route extension
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,6,0.001488148387322111,0.0017556007202657216,0.00026745233294361067,0.49657198824681686,0.4997592681752528,0.0031872799284359266,0.4887548027147749,0.48666738101958484,-0.0020874216951900504,0.29241210256613137,0.21231390921654553,-0.08009819334958584,0.21847230504569345,0.06003205203213954,-0.1584402530135539,0.10564336214961748,0.09416888163777105,-0.011474480511846422,0.027016662092310528,0.006223131379608576,-0.02079353071270195,0.3686411199556086,0.5671647082523623,0.1985235882967537,0.6475480103671034,0.6666964077310604,0.019148397363957015,0.7496361394799819,0.9698014774331013,0.22016533795311943,0.9319379585691913,0.9027938445723603,-0.029144113996830923,0.20896718316073426,0.3754048867571203,0.16643770359638604,0.0890331050240718,-0.0020874216951894,0.0002674523329436,new-route extension
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,7,0.001328205690530415,0.0023331469484865626,0.0010049412579561476,0.5242686170212766,0.617189774646247,0.09292115762497044,0.4981159392306767,0.5204993003274575,0.022383361096780796,0.2725477357529973,0.16608334443721237,-0.10646439131578492,0.22579837833344357,0.06487224265067484,-0.16092613568276873,0.1391031123161458,0.1307601488081667,-0.008342963507979112,0.07846862748277088,0.1133074300965527,0.03483880261378182,0.19928323861341726,0.4311372095380015,0.23185397092458424,0.7010601626993679,0.6904445182219773,-0.010615644477390607,0.700656605099133,0.937450638088812,0.23679403298967905,0.8780043076422995,0.8885565634660881,0.010552255823788603,0.17815520081644046,0.24858212703013885,0.0704269262136984,0.32901232670618213,0.0223833610967802,0.0010049412579561,new-route extension
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,8,0.0015464408378992516,0.0010656312392017214,-0.00048080959869753015,0.4971751412429379,0.4993344425956739,0.0021593013527360094,0.48888129265813907,0.48655735036435427,-0.0023239422937847976,0.3179025560437706,0.1970188252287743,-0.12088373081499629,0.23727375784838242,0.0667858101675415,-0.1704879476808409,0.11387484497024261,0.10141142254483342,-0.012463422425409196,0.020130405379589433,0.005893548571996625,-0.014236856807592808,0.3628730640752507,0.5076910609144197,0.14481799683916902,0.6496541867700335,0.6554756265393633,0.005821439769329806,0.734339225801823,0.9967628412575983,0.2624236154557753,0.9312775935214035,0.9230227310208948,-0.008254862500508664,0.21057072985062877,0.3103882467817498,0.09981751693112104,-0.15959155113610407,-0.0023239422937856,-0.0004808095986975,new-route extension
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,9,0.0015153410975677394,0.0024105983221987576,0.0008952572246310182,0.5482044198895027,0.5859186853661992,0.03771426547669643,0.5052643071868085,0.5050175929087652,-0.0002467142780432363,0.27464949554421114,0.15772271167127266,-0.11692678387293848,0.22335499090272226,0.05407287673356805,-0.1692821141691542,0.1361583109694111,0.13063246612721668,-0.005525844842194427,0.09817377947052672,0.07365399581805407,-0.02451978365247265,0.19068257332659477,0.4352774135974235,0.24459484027082873,0.6941326057952554,0.6913393809587002,-0.002793224836555197,0.6842348567827997,0.9252204895434876,0.24098563276068785,0.883029166983213,0.8879509901620679,0.004921823178854923,0.176214915430961,0.2644345782400687,0.08821966280910773,0.29415846692315695,-0.0002467142780471,0.000895257224631,new-route extension
G1_lossy_high_expansion_low_friction,a150_mu010_g020,G1,10,0.0018342489519718248,0.0012557643070702086,-0.0005784846449016163,0.49633967789165445,0.5001580777742649,0.003818399882610457,0.4886931548343529,0.48691887628977637,-0.001774278544576513,0.31886575568172265,0.20028163668260252,-0.11858411899912014,0.22655319867247992,0.07385657175022572,-0.1526966269222542,0.12124542575938878,0.1094718928325627,-0.011773532926826077,0.03332794420703217,0.010259873008166852,-0.023068071198865316,0.3770288659053054,0.5096416270039327,0.1326127610986273,0.675346740601464,0.6590665596850201,-0.016280180916443898,0.7368900974317114,0.9940529627761453,0.2571628653444339,0.9010364901730329,0.9220213678667574,0.02098487769372448,0.22317331397326992,0.3062605437868464,0.0830872298135765,-0.19165279839750554,-0.0017742785445742,-0.0005784846449016,new-route extension
