path,group,bytes,sha256,suggested_package
runs/confined_structural_10k_prod/cycle_9_hot.dump,atom_dump,1917757,dddbecf0f64a760971d59333c96395ce43863be1db64ec7104c1b6bec6e75e10,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/free_quasistatic_10k_prod/cycle_18_hot.dump,atom_dump,1917508,8c46ad709af450f51e0a62ff50beed68765c5b27ea9db70e68ba635384983191,archive_required__atom_dump__free_quasistatic_10k_prod.tar.zst
runs/confined_structural_10k_prod/cycle_14_hot.dump,atom_dump,1916998,7d8ed3e3ca4361fd17f94900098551c7d89ea3ccb07ac1198a81962ec60631c7,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/confined_structural_10k_prod/cycle_17_hot.dump,atom_dump,1917299,0cc45aafacbb01da2347987a93365a5df5cd489200ab2158e2801f6e750810ec,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/confined_structural_10k_prod/cycle_19_hot.dump,atom_dump,1917153,122831cfb13c1fd47a7ea73be8ab3eb563e34b67e91dc1ca69e95ff6f63ec7bf,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/confined_structural_10k_prod/cycle_20_hot.dump,atom_dump,1916971,abe2f9225d15b68a7e47137b8d2b76d7862d2ca8158bd5174135fc5b37c3eed3,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/free_quasistatic_10k_prod/cycle_4_hot.dump,atom_dump,1916989,af069768d3099bc9b043a4b6ab5a5c33da21bcf03c4603dc241099c6edd60e42,archive_required__atom_dump__free_quasistatic_10k_prod.tar.zst
runs/confined_structural_10k_prod/cycle_18_hot.dump,atom_dump,1915296,5b142282653b4eeb3ed3c347bdda01930f26c7e41d13ec610fdc853c67793516,archive_required__atom_dump__confined_structural_10k_prod.tar.zst
runs/free_quasistatic_10k_prod/cycle_3_hot.dump,atom_dump,1915331,aedb505b9b6b916a21e5830968b50fc8d8ad2f10bc0f74c1d2d5271c52f14df8,archive_required__atom_dump__free_quasistatic_10k_prod.tar.zst
runs/free_quasistatic_10k_prod/cycle_2_hot.dump,atom_dump,1914816,082d4412d2c1072503757c57b0ac7e9947a79036a950ae1c5944d30fc4cf9a4b,archive_required__atom_dump__free_quasistatic_10k_prod.tar.zst
runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_2_hot.dump,atom_dump,1913920,ec3b66fb7f09d3e3ad3958fbe914bf14e977c023ddbc3665ed8ff10bb7b83396,archive_required__atom_dump__long_cycle_force_probe.tar.zst
runs/regime_matrix_10k/a150_mu060_g000/cycle_1_hot.dump,atom_dump,1913353,9cb376609e8feb689ba6627a564d6aa4ca87ff17c08dcf53c6fbef4c3c29b738,archive_required__atom_dump__regime_matrix_10k.tar.zst
runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_1_hot.dump,atom_dump,1912557,fa9cbaaef75e7763b8ecd4c540220debaa87e7a60f2f0752db795c8014e02ecb,archive_required__atom_dump__long_cycle_force_probe.tar.zst
runs/long_cycle_force_probe/a150_mu060_g000_c30/cycle_3_hot.dump,atom_dump,1912947,6b32311177f97e63b969c22edeb042545cef856815491ad1174a4204e2449eab,archive_required__atom_dump__long_cycle_force_probe.tar.zst
runs/regime_matrix_10k/a150_mu030_g000/cycle_1_hot.dump,atom_dump,1912915,00386a0a347aecc8e1e11f309518162efcbc0560aefaf8973fc475d0ab98339f,archive_required__atom_dump__regime_matrix_10k.tar.zst
